time_s,water_b1_ml_min,water_b2_ml_min,water_b3_ml_min,water_a1_ml_min,si350_t1_ml_min,si350_t2_ml_min,si350_t3_ml_min,si1000_t1_ml_min,si1000_t2_ml_min,si1000_t3_ml_min,si5000_t1_ml_min,si5000_t2_ml_min,si5000_t3_ml_min,si12500_t1_ml_min,si12500_t2_ml_min,si12500_t3_ml_min
0.007,0.4326,-0.1444,0.2212,0.0666,0.0702,-0.0776,-0.087,0.087,0.1034,0.1002,0.072,-0.0218,0.0454,-0.095,0.0458,0.07
0.507,0.4514,-0.155,0.1898,0.0614,0.0654,-0.0306,-0.0708,0.0824,0.1026,0.09,0.0712,-0.0052,0.0252,-0.082,0.035,0.063
1.007,0.4106,0.0296,0.1964,0.0544,0.0588,0.0298,-0.0406,0.0758,0.1118,0.0822,0.0678,0.015,-0.02,-0.0674,0.0318,0.0794
1.507,0.4992,0.269,0.1956,0.0536,0.0578,0.0634,0.0224,0.0726,0.116,0.0778,0.0604,0.0354,-0.0376,-0.0536,0.0328,0.0802
2.007,0.3524,0.3612,0.1364,0.0524,-0.0926,0.0988,0.0638,0.0702,0.1162,0.0736,0.0134,0.0494,-0.0394,-0.0396,0.0384,0.082
2.507,0.3084,0.4184,0.1672,0.0448,-0.1952,0.1138,0.1024,0.0688,0.1142,0.0702,-0.0892,0.0638,-0.032,-0.022,0.0448,0.082
3.007,0.3346,0.3644,-1.4156,0.0484,-0.1086,0.1128,0.1232,0.0638,0.1158,0.069,-0.1292,0.0718,-0.0168,-0.0054,0.051,0.082
3.507,0.2884,0.4818,-0.0708,0.0516,-0.0734,0.118,0.1136,0.0502,0.1112,0.061,-0.1284,0.0762,0.001,0.0104,0.0582,0.082
4.007,0.2122,0.4366,-0.0972,0.0478,-0.0312,0.123,0.1088,-0.042,0.1056,0.0266,-0.1198,0.0824,0.0212,0.0272,0.0642,0.082
4.507,0.1942,0.3624,-0.1792,0.0438,0.0438,0.1168,0.1178,-0.0864,0.101,-0.0764,-0.0976,0.0882,0.0418,0.0426,0.0694,0.082
5.007,0.2252,0.5306,-0.0914,-0.076,0.0758,0.109,0.1124,-0.074,0.0942,-0.082,0.0016,0.0916,0.055,0.054,0.074,0.082
5.507,0.198,0.3932,0.106,0.0104,0.1082,0.1314,0.1038,-0.0698,0.0858,-0.0758,0.0024,0.0938,0.0586,0.0624,0.0788,0.0806
6.007,0.169,0.427,0.1828,-0.008,0.1114,0.1268,0.1286,-0.0512,0.0802,-0.0648,0.002,0.0976,0.008,0.068,0.0834,0.0794
6.507,0.197,0.4528,0.3418,-0.034,0.1056,0.1122,0.1256,-0.0144,0.078,-0.0248,0.002,0.098,0.0362,0.0714,0.087,0.0758
7.007,0.1852,0.519,0.4116,-0.0288,0.1226,0.112,0.1148,0.0264,0.0756,0.0206,0.002,0.0964,0.0906,0.0738,0.0912,0.0668
7.507,-0.7654,0.353,0.392,0.0162,0.116,0.1122,0.1102,0.062,0.072,0.0602,0.002,0.096,0.0906,0.0752,0.0946,0.0532
8.007,-0.7944,0.265,0.446,0.0592,0.108,0.0954,0.1148,0.0816,0.07,0.083,0.0028,0.0928,0.095,0.076,0.096,0.0408
8.507,-0.04,0.2972,0.4402,0.0598,0.1174,0.0852,0.1012,0.0876,0.0648,0.096,0.0726,0.088,0.096,0.0762,0.096,0.0336
9.007,-0.1264,0.2738,0.3676,0.0742,0.1296,0.0884,0.0896,0.0906,0.026,0.1,0.0826,0.0878,0.0966,0.0766,0.0966,0.032
9.507,-0.118,0.201,0.3542,0.0654,0.1252,0.0812,0.0882,0.0996,-0.0728,0.103,0.0848,0.0854,0.098,0.0774,0.096,0.034
10.008,0.0286,0.1914,0.6078,0.0598,0.115,0.0694,0.0782,0.1024,-0.0832,0.112,0.0868,0.0828,0.0972,0.076,0.0958,0.0382
10.508,0.1666,0.2232,0.4966,0.0732,0.1164,0.0684,0.0684,0.1014,-0.0746,0.1148,0.0898,0.0796,0.0952,0.0752,0.094,0.0442
11.008,0.2698,0.1486,0.3576,0.0692,0.105,0.0728,0.068,0.1054,-0.0596,0.1138,0.092,0.077,0.093,0.0714,0.0936,0.05
11.508,0.3412,0.2038,0.372,0.067,0.0944,0.066,0.0736,0.1108,-0.0312,0.1214,0.0916,0.0736,0.092,0.06,0.092,0.0564
12.009,0.482,0.2128,0.4056,0.064,0.097,0.0636,0.0676,0.1094,0.0168,0.1232,0.089,0.0642,0.0898,0.0312,0.0914,0.0622
12.509,0.382,0.1686,0.2914,0.0724,0.0972,0.0682,0.0642,0.1058,0.0596,0.1174,0.088,0.0366,0.0876,-0.0344,0.0898,0.066
13.009,0.3716,-1.0668,0.2822,0.0678,0.0774,0.036,0.0658,0.1032,0.0782,0.1122,0.0858,0,0.0854,-0.0804,0.0876,0.07
13.509,0.4842,-0.1264,0.2992,0.0642,0.0676,-0.1358,0.001,0.0978,0.095,0.11,0.083,-0.0228,0.0834,-0.0916,0.0812,0.0748
14.009,0.4288,-0.1096,0.2176,0.0698,0.0664,-0.1384,-0.1538,0.0926,0.102,0.1052,0.081,-0.0268,0.0798,-0.0888,0.0686,0.08
14.509,0.4354,-0.1306,0.2002,0.0618,0.0632,-0.0872,-0.1196,0.088,0.103,0.096,0.0788,-0.0174,0.0754,-0.0792,0.0528,0.083
15.009,0.432,-0.079,0.2006,0.058,0.0608,-0.0526,-0.0784,0.0846,0.108,0.0902,0.0764,0.0022,0.064,-0.0672,0.043,0.0854
15.509,0.5118,-0.016,0.2092,0.0552,0.0618,0.0046,-0.0518,0.079,0.1138,0.085,0.0734,0.023,0.0424,-0.0544,0.0372,0.07
16.009,0.4226,0.1802,0.1666,0.0582,0.0586,0.0578,-0.0034,0.0742,0.114,0.0802,0.0656,0.0396,0.0142,-0.0428,0.0396,0.0946
16.509,0.3024,0.3184,0.1714,0.052,0.0338,0.0932,0.0514,0.072,0.113,0.076,0.0344,0.0552,-0.0022,-0.0254,0.0418,0.09
17.009,0.3748,0.3692,0.1954,0.0504,-0.148,0.1072,0.0908,0.0666,0.1174,0.0748,-0.015,0.0646,-0.0058,-0.0092,0.0466,0.0902
17.509,0.3346,0.448,0.1788,0.0484,-0.1802,0.1102,0.1076,0.0634,0.1146,0.0726,-0.0424,0.0698,0,0.0054,0.0524,0.09
18.009,0.2532,0.3978,-1.325,0.0482,-0.1038,0.1198,0.1094,0.0574,0.1078,0.067,-0.0454,0.076,0.0094,0.0222,0.06,0.09
18.509,0.2294,0.342,-0.115,0.0412,-0.07,0.1162,0.1226,0.0084,0.103,0.0514,-0.0372,0.0832,0.0246,0.0392,0.0646,0.0896
19.009,0.2382,0.5064,-0.153,0.0434,-0.0016,0.1116,0.117,-0.0862,0.1006,-0.0458,-0.0208,0.0884,0.0402,0.051,0.069,0.0882
19.509,0.1894,0.524,-0.2324,-0.0706,0.077,0.1246,0.107,-0.0836,0.0942,-0.0818,0.0026,0.092,0.0498,0.061,0.0758,0.088
20.009,0.1634,0.4328,-0.0694,0.004,0.1,0.123,0.1232,-0.073,0.0874,-0.076,0.0262,0.0974,0.0584,0.0682,0.08,0.0868
20.509,0.1894,0.409,0.2076,-0.0006,0.1006,0.1078,0.125,-0.057,0.082,-0.0672,0.046,0.0998,0.066,0.073,0.084,0.086
21.009,0.1952,0.478,0.305,-0.0318,0.1164,0.1234,0.1148,-0.0278,0.0776,-0.0464,0.0614,0.0988,0.0732,0.0756,0.0882,0.0846
21.511,0.158,0.3602,0.3718,-0.026,0.1152,0.13,0.1138,0.01,0.0732,-0.0048,0.0736,0.098,0.0784,0.078,0.092,0.0796
22.013,0.1566,0.2838,0.418,0.0098,0.1044,0.107,0.1226,0.0578,0.0722,0.0436,0.0806,0.098,0.084,0.08,0.0946,0.0686
22.513,-1.2886,0.3624,0.463,0.042,0.113,0.0896,0.11,0.0772,0.0714,0.0848,0.0862,0.095,0.0874,0.0806,0.0932,0.0552
23.013,-0.0624,0.3514,0.4224,0.0676,0.1204,0.096,0.0944,0.0846,0.0664,0.0956,0.0946,0.0916,0.0904,0.0802,0.0988,0.0434
23.513,-0.1114,0.2576,0.3738,0.067,0.1174,0.087,0.0948,0.0946,0.041,0.0992,0.0996,0.089,0.0934,0.08,0.099,0.037
24.013,-0.1736,0.234,0.5058,0.0628,0.113,0.0734,0.0924,0.0996,-0.0722,0.1072,0.1018,0.0868,0.096,0.08,0.0986,0.0368
