time_s,s1_flow_ml_min,s1_temp_c
0,-0.076,29.6
0.5,-0.063,29.8
1,-0.058,29.9
1.5,-0.049,30
2,-0.045,30.1
2.5,-0.039,30.1
3,-0.031,30.2
3.5,-0.031,30.3
4,-0.035,30.3
4.5,-0.04,30.4
5,-0.046,30.4
5.5,-0.034,30.5
6,-0.024,30.5
6.5,-0.031,30.6
7,-0.027,30.6
7.5,-0.016,30.6
8,-0.013,30.7
8.5,-0.003,30.7
9,-0.011,30.7
9.5,-0.021,30.8
10,-0.021,30.8
10.5,-0.015,30.8
11,-0.016,30.9
11.5,-0.003,30.9
12,0.011,30.9
12.5,0.024,30.9
13,0.035,30.9
13.5,0.044,30.9
14,0.044,30.9
14.5,0.049,30.9
15,0.047,30.9
15.5,0.048,30.9
16,0.047,30.9
16.5,0.042,30.9
17,0.056,30.8
17.5,0.062,30.8
18,0.067,30.8
18.5,0.064,30.8
19,0.059,30.7
19.5,0.057,30.7
20,0.048,30.7
20.5,0.048,30.7
21,0.06,30.7
21.5,0.076,30.7
22,0.079,30.7
22.5,0.077,30.6
23,0.081,30.6
23.5,0.076,30.6
24,0.079,30.6
24.5,0.075,30.5
25,0.069,30.5
25.5,0.066,30.5
26,0.062,30.5
26.5,0.066,30.5
27,0.069,30.5
27.5,0.069,30.5
28,0.067,30.5
28.5,0.059,30.5
29,0.058,30.5
29.5,0.047,30.5
30,0.04,30.5
30.5,0.054,30.5
31,0.064,30.6
31.5,0.074,30.5
32,0.072,30.5
32.5,0.079,30.5
33,0.077,30.5
33.5,0.073,30.5
34,0.072,30.5
34.5,0.067,30.5
35,0.073,30.4
35.5,0.069,30.4
36,0.072,30.4
36.5,0.07,30.5
37,0.069,30.4
37.5,0.067,30.4
38,0.061,30.4
38.5,0.057,30.4
39,0.05,30.4
39.5,0.053,30.4
40,0.065,30.5
40.5,0.066,30.5
41,0.074,30.5
41.5,0.073,30.4
42,0.076,30.5
42.5,0.078,30.4
43,0.073,30.4
43.5,0.075,30.4
44,0.073,30.4
44.5,0.074,30.4
45,0.072,30.4
45.5,0.069,30.4
46,0.066,30.4
46.5,0.057,30.4
47,0.058,30.4
47.5,0.053,30.4
48,0.05,30.4
48.5,0.046,30.5
49,0.039,30.5
49.5,0.05,30.5
50,0.055,30.5
50.5,0.06,30.5
51,0.063,30.5
51.5,0.06,30.5
52,0.06,30.5
52.5,0.055,30.5
53,0.065,30.5
53.5,0.066,30.5
54,0.06,30.5
54.5,0.061,30.5
55,0.05,30.5
55.5,0.058,30.5
56,0.05,30.5
56.5,0.051,30.5
57,0.051,30.5
57.5,0.045,30.5
58,0.039,30.5
58.5,0.035,30.6
59,0.04,30.6
59.5,0.041,30.6
60,0.043,30.6
60.5,0.044,30.6
61,0.038,30.6
61.5,0.043,30.6
62,0.04,30.6
62.5,0.041,30.6
63,0.04,30.6
63.5,0.038,30.7
64,0.037,30.7
64.5,0.033,30.7
65,0.037,30.7
65.5,0.033,30.7
66,0.031,30.7
66.5,0.031,30.8
67,0.028,30.8
67.5,0.03,30.8
68,0.024,30.8
68.5,0.023,30.8
69,0.027,30.8
69.5,0.027,30.8
70,0.029,30.8
70.5,0.029,30.8
71,0.029,30.9
71.5,0.03,30.9
72,0.029,30.9
72.5,0.029,30.9
73,0.024,30.9
73.5,0.024,30.9
74,0.022,30.9
74.5,0.02,30.9
75,0.019,30.9
75.5,0.01,31
76,-0.003,31
76.5,-0.028,31
77,-0.067,31
77.5,-0.124,31.1
78,-0.195,31.1
78.5,-0.299,31
79,-0.447,30.8
79.5,-0.643,30.4
80,-0.667,30.1
80.5,-0.403,29.8
81,-0.195,29.9
81.5,-0.11,30
82,-0.082,30.1
82.5,-0.067,30.2
83,-0.06,30.3
83.5,-0.056,30.4
84,-0.05,30.5
84.5,-0.049,30.6
85,-0.045,30.7
85.5,-0.044,30.7
86,-0.045,30.8
86.5,-0.049,30.8
87,-0.051,30.9
87.5,-0.054,30.9
88,-0.051,30.9
88.5,-0.043,31
89,-0.039,31
89.5,-0.032,31
90,-0.028,31.1
90.5,-0.023,31.1
91,-0.015,31.2
91.5,-0.007,31.2
92,-0.001,31.2
92.5,0.005,31.3
93,0.016,31.3
93.5,0.022,31.3
94,0.022,31.3
94.5,0.026,31.3
95,0.033,31.3
95.5,0.036,31.3
96,0.034,31.3
96.5,0.034,31.3
97,0.03,31.3
97.5,0.034,31.3
98,0.046,31.3
98.5,0.049,31.2
99,0.055,31.2
99.5,0.055,31.2
100,0.065,31.2
100.5,0.07,31.1
101,0.073,31.1
101.5,0.074,31
102,0.067,31
102.5,0.073,31
103,0.069,30.9
103.5,0.066,30.9
104,0.075,30.9
104.5,0.075,30.8
105,0.073,30.8
105.5,0.067,30.8
106,0.065,30.8
106.5,0.057,30.8
107,0.051,30.7
107.5,0.056,30.8
108,0.054,30.8
108.5,0.063,30.8
109,0.062,30.8
109.5,0.068,30.7
110,0.071,30.7
110.5,0.067,30.7
111,0.07,30.7
111.5,0.063,30.7
112,0.063,30.7
112.5,0.059,30.7
113,0.059,30.7
113.5,0.065,30.7
114,0.065,30.7
114.5,0.069,30.7
115,0.064,30.7
115.5,0.062,30.7
116,0.057,30.7
116.5,0.045,30.7
117,0.039,30.7
117.5,0.036,30.7
118,0.061,30.7
118.5,0.069,30.7
119,0.073,30.7
119.5,0.086,30.7
120,0.08,30.6
120.5,0.084,30.6
121,0.075,30.6
121.5,0.071,30.6
122,0.069,30.6
122.5,0.06,30.5
123,0.071,30.6
123.5,0.077,30.5
124,0.081,30.5
124.5,0.075,30.5
125,0.063,30.5
125.5,0.057,30.5
126,0.045,30.5
126.5,0.043,30.6
127,0.049,30.6
127.5,0.067,30.6
128,0.073,30.6
128.5,0.069,30.6
129,0.081,30.6
129.5,0.076,30.5
130,0.07,30.5
130.5,0.064,30.5
131,0.057,30.5
131.5,0.055,30.5
132,0.051,30.6
132.5,0.057,30.6
133,0.063,30.6
133.5,0.066,30.6
134,0.064,30.6
134.5,0.052,30.6
135,0.048,30.6
135.5,0.036,30.6
136,0.03,30.6
136.5,0.042,30.7
137,0.049,30.7
137.5,0.053,30.7
138,0.051,30.7
138.5,0.058,30.7
139,0.06,30.7
139.5,0.054,30.7
140,0.05,30.7
140.5,0.041,30.7
141,0.041,30.7
141.5,0.035,30.7
142,0.033,30.7
142.5,0.037,30.8
143,0.036,30.8
143.5,0.04,30.8
144,0.037,30.8
144.5,0.035,30.8
145,0.029,30.8
145.5,0.022,30.9
146,0.017,30.9
146.5,0.019,30.9
147,0.031,30.9
147.5,0.033,30.9
148,0.039,31
148.5,0.041,30.9
149,0.037,31
149.5,0.039,31
150,0.03,30.9
150.5,0.028,30.9
151,0.027,31
151.5,0.026,31
152,0.027,31
152.5,0.027,31
153,0.028,31
153.5,0.024,31
154,0.018,31.1
154.5,0.008,31.1
155,-0.015,31.1
155.5,-0.036,31.1
156,-0.067,31.2
156.5,-0.113,31.2
157,-0.152,31.3
157.5,-0.157,31.2
158,-0.139,31.2
158.5,-0.105,31.2
159,-0.082,31.2
159.5,-0.076,31.2
160,-0.07,31.2
160.5,-0.063,31.2
161,-0.026,31.3
161.5,0.011,31.3
162,0.015,31.4
162.5,0.013,31.5
163,0.008,31.5
163.5,-0.013,31.5
164,-0.046,31.6
164.5,-0.065,31.6
165,-0.052,31.6
165.5,-0.025,31.6
166,-0.02,31.6
166.5,-0.018,31.7
167,-0.021,31.7
167.5,-0.026,31.7
168,-0.03,31.7
168.5,-0.033,31.8
169,-0.03,31.8
169.5,-0.023,31.8
170,-0.018,31.8
170.5,-0.012,31.9
171,-0.01,31.9
171.5,-0.007,31.9
172,-0.007,31.9
172.5,-0.006,31.9
173,-0.006,31.9
173.5,-0.007,31.9
174,-0.006,31.9
174.5,0.011,31.9
175,0.02,32
175.5,0.025,32
176,0.029,31.9
176.5,0.033,31.9
177,0.042,31.9
177.5,0.048,31.9
178,0.048,31.8
178.5,0.049,31.8
179,0.047,31.8
179.5,0.051,31.7
180,0.053,31.7
180.5,0.052,31.6
181,0.059,31.6
181.5,0.059,31.5
182,0.059,31.5
182.5,0.054,31.5
183,0.052,31.4
183.5,0.048,31.4
184,0.055,31.4
184.5,0.062,31.4
185,0.059,31.4
185.5,0.064,31.3
186,0.068,31.3
186.5,0.066,31.3
187,0.076,31.2
187.5,0.076,31.2
188,0.085,31.2
188.5,0.08,31.1
189,0.074,31.1
189.5,0.072,31.1
190,0.065,31.1
190.5,0.068,31
191,0.071,31
191.5,0.071,31
192,0.066,31
192.5,0.056,31
193,0.056,31
193.5,0.061,31
194,0.064,31
194.5,0.06,31
195,0.063,31
195.5,0.071,31
196,0.071,31
196.5,0.078,31
197,0.072,30.9
197.5,0.073,30.9
198,0.072,30.9
198.5,0.067,30.9
199,0.064,30.9
199.5,0.061,30.9
200,0.063,30.9
200.5,0.067,30.9
201,0.067,30.9
201.5,0.064,30.9
202,0.054,30.9
202.5,0.052,30.9
203,0.047,30.9
203.5,0.061,30.9
204,0.062,31
204.5,0.061,31
205,0.071,31
205.5,0.072,30.9
206,0.075,30.9
206.5,0.074,30.9
207,0.072,30.9
207.5,0.072,30.9
208,0.064,30.8
208.5,0.068,30.8
209,0.059,30.8
209.5,0.055,30.9
210,0.065,30.9
210.5,0.06,30.9
211,0.058,30.9
211.5,0.054,30.9
212,0.049,30.9
212.5,0.042,30.9
213,0.046,30.9
213.5,0.044,31
214,0.045,31
214.5,0.055,31
215,0.058,31
215.5,0.061,31
216,0.062,31
216.5,0.053,31
217,0.054,31
217.5,0.048,31
218,0.045,31
218.5,0.04,31
219,0.038,31
219.5,0.044,31
220,0.04,31
220.5,0.039,31.1
221,0.036,31.1
221.5,0.032,31.1
222,0.029,31.1
222.5,0.021,31.1
223,0.025,31.2
223.5,0.024,31.2
224,0.032,31.2
224.5,0.035,31.2
225,0.034,31.2
225.5,0.035,31.3
226,0.035,31.3
226.5,0.036,31.3
227,0.033,31.3
227.5,0.03,31.3
228,0.029,31.3
228.5,0.025,31.3
229,0.031,31.3
229.5,0.031,31.3
230,0.03,31.3
230.5,0.03,31.3
231,0.025,31.3
231.5,0.02,31.4
232,0.016,31.4
232.5,0.019,31.4
233,0.021,31.4
233.5,0.022,31.4
234,0.023,31.4
234.5,0.022,31.4
235,0.026,31.4
235.5,0.025,31.5
236,0.021,31.5
236.5,0.011,31.5
237,-0.018,31.5
237.5,-0.059,31.6
238,-0.113,31.6
238.5,-0.172,31.6
239,-0.184,31.6
239.5,-0.131,31.5
240,-0.078,31.5
240.5,-0.051,31.6
241,-0.042,31.6
241.5,-0.039,31.7
242,-0.035,31.7
242.5,-0.043,31.7
243,-0.053,31.8
243.5,-0.047,31.8
244,-0.038,31.9
244.5,-0.033,31.9
245,-0.031,31.9
245.5,-0.031,31.9
246,-0.029,32
246.5,-0.025,32
247,-0.026,32
247.5,-0.031,32.1
248,-0.035,32.1
248.5,-0.026,32.1
249,-0.018,32.1
249.5,-0.019,32.1
250,-0.02,32.2
250.5,-0.024,32.2
251,-0.027,32.2
251.5,-0.027,32.2
252,-0.027,32.2
252.5,-0.019,32.3
253,-0.014,32.3
253.5,-0.007,32.3
254,-0.002,32.3
254.5,0.006,32.3
255,0.013,32.3
255.5,0.02,32.3
256,0.023,32.3
256.5,0.028,32.3
257,0.033,32.3
257.5,0.034,32.3
258,0.044,32.3
258.5,0.045,32.2
259,0.051,32.2
259.5,0.05,32.1
260,0.046,32.1
260.5,0.042,32
261,0.032,32
261.5,0.038,32
262,0.05,32
262.5,0.059,32
263,0.06,31.9
263.5,0.063,31.9
264,0.07,31.8
264.5,0.066,31.8
265,0.068,31.8
265.5,0.064,31.7
266,0.06,31.7
266.5,0.061,31.6
267,0.057,31.6
267.5,0.073,31.6
268,0.07,31.6
268.5,0.064,31.6
269,0.057,31.5
269.5,0.052,31.5
270,0.051,31.5
270.5,0.046,31.6
271,0.057,31.6
271.5,0.062,31.5
272,0.062,31.5
272.5,0.068,31.5
273,0.069,31.5
273.5,0.071,31.5
274,0.071,31.4
274.5,0.075,31.4
275,0.067,31.4
275.5,0.061,31.4
276,0.068,31.4
276.5,0.07,31.4
277,0.075,31.4
277.5,0.073,31.4
278,0.063,31.3
278.5,0.062,31.3
279,0.056,31.3
279.5,0.053,31.3
280,0.045,31.4
280.5,0.051,31.4
281,0.062,31.4
281.5,0.062,31.4
282,0.07,31.4
282.5,0.071,31.4
283,0.073,31.3
283.5,0.072,31.3
284,0.068,31.3
284.5,0.069,31.3
285,0.066,31.3
285.5,0.067,31.3
286,0.072,31.3
286.5,0.067,31.3
287,0.064,31.3
287.5,0.06,31.3
288,0.061,31.3
288.5,0.054,31.3
289,0.048,31.3
289.5,0.045,31.3
290,0.04,31.3
290.5,0.057,31.4
291,0.061,31.4
291.5,0.065,31.4
292,0.07,31.3
292.5,0.071,31.3
293,0.072,31.3
293.5,0.07,31.3
294,0.07,31.3
294.5,0.064,31.3
295,0.06,31.3
295.5,0.061,31.3
296,0.05,31.3
296.5,0.059,31.3
297,0.059,31.3
297.5,0.057,31.3
298,0.049,31.3
298.5,0.041,31.3
299,0.034,31.3
299.5,0.026,31.4
300,0.032,31.4
300.5,0.033,31.4
301,0.036,31.5
301.5,0.039,31.5
302,0.036,31.5
302.5,0.043,31.5
303,0.041,31.5
303.5,0.04,31.5
304,0.036,31.5
304.5,0.03,31.5
305,0.022,31.5
305.5,0.021,31.6
306,0.029,31.6
306.5,0.033,31.6
307,0.033,31.6
307.5,0.032,31.6
308,0.026,31.6
308.5,0.025,31.7
309,0.018,31.7
309.5,0.017,31.7
310,0.024,31.7
310.5,0.026,31.7
311,0.029,31.7
311.5,0.034,31.8
312,0.036,31.8
312.5,0.034,31.8
313,0.029,31.8
313.5,0.025,31.8
314,0.015,31.8
314.5,0.01,31.8
315,0.012,31.8
315.5,0.02,31.9
316,0.024,31.9
316.5,0.019,31.9
317,0.016,31.9
317.5,-0.007,31.9
318,-0.067,32
318.5,-0.158,32
319,-0.213,32
319.5,-0.202,31.9
320,-0.147,31.9
320.5,-0.097,31.9
321,-0.072,31.9
321.5,-0.059,31.9
322,-0.05,32
322.5,-0.043,32
323,-0.035,32.1
323.5,-0.03,32.1
324,-0.029,32.2
324.5,-0.027,32.2
325,-0.03,32.2
325.5,-0.025,32.3
326,-0.017,32.3
326.5,-0.019,32.3
327,-0.026,32.4
327.5,-0.034,32.4
328,-0.038,32.4
328.5,-0.03,32.4
329,-0.029,32.5
329.5,-0.032,32.5
330,-0.036,32.5
330.5,-0.037,32.5
331,-0.033,32.5
331.5,-0.026,32.6
332,-0.017,32.6
332.5,-0.011,32.6
333,-0.006,32.6
333.5,0.002,32.6
334,0.011,32.7
334.5,0.017,32.7
335,0.036,32.7
335.5,0.034,32.7
336,0.033,32.6
336.5,0.031,32.6
337,0.026,32.6
337.5,0.025,32.6
338,0.025,32.6
338.5,0.033,32.6
339,0.037,32.6
339.5,0.039,32.5
340,0.053,32.5
340.5,0.057,32.5
341,0.063,32.4
341.5,0.063,32.3
342,0.065,32.3
342.5,0.064,32.3
343,0.058,32.2
343.5,0.06,32.2
344,0.058,32.1
344.5,0.067,32.1
345,0.069,32.1
345.5,0.066,32.1
346,0.065,32
346.5,0.059,32
347,0.056,32
347.5,0.054,31.9
348,0.053,31.9
348.5,0.057,31.9
349,0.058,31.9
349.5,0.067,31.9
350,0.068,31.9
350.5,0.072,31.9
351,0.07,31.8
351.5,0.069,31.8
352,0.071,31.8
352.5,0.065,31.8
353,0.063,31.8
353.5,0.064,31.8
354,0.072,31.8
354.5,0.077,31.7
355,0.069,31.7
355.5,0.067,31.7
356,0.059,31.7
356.5,0.053,31.7
357,0.046,31.7
357.5,0.035,31.7
358,0.047,31.8
358.5,0.06,31.8
359,0.071,31.8
359.5,0.075,31.7
360,0.074,31.7
360.5,0.074,31.7
361,0.069,31.7
361.5,0.069,31.7
362,0.066,31.7
362.5,0.065,31.7
363,0.063,31.6
363.5,0.061,31.6
364,0.072,31.6
364.5,0.07,31.6
365,0.069,31.6
365.5,0.064,31.6
366,0.055,31.6
366.5,0.05,31.6
367,0.048,31.6
367.5,0.055,31.6
368,0.061,31.7
368.5,0.073,31.7
369,0.078,31.6
369.5,0.074,31.6
370,0.079,31.6
370.5,0.08,31.6
371,0.076,31.5
371.5,0.074,31.5
372,0.065,31.5
372.5,0.062,31.6
373,0.065,31.5
373.5,0.07,31.5
374,0.068,31.5
374.5,0.063,31.5
375,0.056,31.5
375.5,0.045,31.5
376,0.04,31.6
376.5,0.033,31.6
377,0.036,31.6
377.5,0.039,31.7
378,0.04,31.7
378.5,0.044,31.7
379,0.045,31.7
379.5,0.047,31.7
380,0.048,31.8
380.5,0.045,31.8
381,0.043,31.7
381.5,0.038,31.8
382,0.041,31.8
382.5,0.035,31.8
383,0.034,31.8
383.5,0.037,31.8
384,0.034,31.8
384.5,0.036,31.9
385,0.033,31.9
385.5,0.029,31.9
386,0.026,31.9
386.5,0.024,31.9
387,0.025,31.9
387.5,0.028,32
388,0.031,32
388.5,0.032,32
389,0.033,32
389.5,0.036,32
390,0.033,32
390.5,0.033,32
391,0.026,32
391.5,0.03,32
392,0.024,32
392.5,0.019,32
393,0.024,32.1
393.5,0.026,32.1
394,0.028,32.1
394.5,0.026,32.1
395,0.024,32.1
395.5,0.019,32.1
396,0.013,32.2
396.5,0.019,32.2
397,0.02,32.2
397.5,0.016,32.2
398,-0.001,32.2
398.5,-0.037,32.3
399,-0.091,32.3
399.5,-0.151,32.4
400,-0.168,32.3
400.5,-0.137,32.3
401,-0.092,32.2
401.5,-0.062,32.3
402,-0.048,32.4
402.5,-0.043,32.4
403,-0.038,32.5
403.5,-0.039,32.5
404,-0.041,32.5
404.5,-0.042,32.6
405,-0.043,32.6
405.5,-0.044,32.7
406,-0.041,32.6
406.5,-0.04,32.7
407,-0.039,32.7
407.5,-0.04,32.7
408,-0.039,32.8
408.5,-0.042,32.8
409,-0.045,32.8
