time_s,0.0_ml_min,0.1_ml_min,0.2_ml_min,0.3_ml_min,0.4_ml_min
0,0.056,0.054,-0.076,0.076,0.049
0.5,0.057,0.047,-0.063,0.07,0.041
1,0.052,0.041,-0.058,0.068,0.042
1.5,0.048,0.048,-0.049,0.062,0.036
2,0.046,0.056,-0.045,0.054,0.029
2.5,0.04,0.053,-0.039,0.052,0.04
3,0.036,0.058,-0.031,0.058,0.037
3.5,0.032,0.06,-0.031,0.074,0.034
4,0.031,0.059,-0.035,0.076,0.032
4.5,0.028,0.059,-0.04,0.075,0.028
5,0.024,0.057,-0.046,0.081,0.021
5.5,0.02,0.055,-0.034,0.074,0.017
6,0.008,0.049,-0.024,0.078,0.024
6.5,-0.005,0.045,-0.031,0.072,0.022
7,-0.026,0.041,-0.027,0.07,0.028
7.5,-0.06,0.043,-0.016,0.065,0.03
8,-0.117,0.051,-0.013,0.066,0.028
8.5,-0.21,0.048,-0.003,0.064,0.031
9,-0.359,0.044,-0.011,0.062,0.03
9.5,-0.552,0.039,-0.021,0.07,0.031
10,-0.767,0.033,-0.021,0.066,0.027
10.5,-1.044,0.026,-0.015,0.052,0.026
11,-0.952,0.027,-0.016,0.048,0.021
11.5,-0.585,0.034,-0.003,0.041,0.015
12,-0.336,0.037,0.011,0.041,0.007
12.5,-0.198,0.04,0.024,0.045,-0.031
13,-0.128,0.04,0.035,0.053,-0.089
13.5,-0.091,0.038,0.044,0.052,-0.17
14,-0.069,0.037,0.044,0.047,-0.276
14.5,-0.053,0.029,0.049,0.054,-0.374
15,-0.048,0.019,0.047,0.053,-0.358
15.5,-0.047,-0.007,0.048,0.055,-0.231
16,-0.045,-0.042,0.047,0.049,-0.124
16.5,-0.043,-0.064,0.042,0.044,-0.068
17,-0.039,-0.092,0.056,0.045,-0.048
17.5,-0.043,-0.117,0.062,0.04,-0.048
18,-0.047,-0.168,0.067,0.045,-0.052
18.5,-0.049,-0.249,0.064,0.039,-0.05
19,-0.047,-0.416,0.059,0.037,-0.047
19.5,-0.04,-0.687,0.057,0.038,-0.028
20,-0.036,-1.031,0.048,0.034,-0.018
20.5,-0.028,-0.974,0.048,0.036,-0.017
21,-0.023,-0.507,0.06,0.028,-0.025
21.5,-0.016,-0.221,0.076,0.027,-0.033
22,-0.009,-0.109,0.079,0.027,-0.026
22.5,-0.001,-0.071,0.077,0.03,-0.025
23,-0.001,-0.057,0.081,0.035,-0.033
23.5,0.006,-0.049,0.076,0.034,-0.038
24,0.014,-0.05,0.079,0.039,-0.042
24.5,0.023,-0.054,0.075,0.037,-0.042
25,0.025,-0.048,0.069,0.035,-0.038
25.5,0.026,-0.032,0.066,0.033,-0.031
26,0.028,-0.033,0.062,0.028,-0.036
26.5,0.027,-0.029,0.066,0.032,-0.035
27,0.028,-0.005,0.069,0.027,-0.029
27.5,0.038,0.007,0.069,0.029,-0.02
28,0.047,-0.001,0.067,0.025,-0.008
28.5,0.057,-0.027,0.059,0.021,-0.001
29,0.07,-0.057,0.058,0.023,0.007
29.5,0.079,-0.076,0.047,0.021,0.014
30,0.08,-0.062,0.04,0.02,0.021
30.5,0.079,-0.034,0.054,0.01,0.023
31,0.078,-0.019,0.064,-0.004,0.024
31.5,0.074,-0.015,0.074,-0.02,0.03
32,0.073,-0.011,0.072,-0.047,0.035
32.5,0.067,-0.007,0.079,-0.107,0.037
33,0.074,0.003,0.077,-0.209,0.036
33.5,0.074,0.017,0.073,-0.352,0.036
34,0.075,0.021,0.072,-0.527,0.032
34.5,0.07,0.023,0.067,-0.564,0.028
35,0.063,0.027,0.073,-0.352,0.031
