sample_name,viscosity_cp
water,16.896757
water,16.896757
water,35.1205
water,15.362513
water,16.896757
water,35.1205
water,-59.612347
water,35.1205
water,35.1205
water,16.896757
water,16.896757
water,15.362513
water,15.362513
water,85.64111
water,15.362513
water,35.1205
water,16.896757
water,35.1205
water,35.1205
water,388.28897
water,3209.4822
water,355.53516
water,1069.8053
water,1072.7856
water,1127.3895
si350,334.4886
si350,362.37265
si350,323.05197
si350,313.64337
si350,321.63605
si350,329.73074
si350,360.73517
si350,364.86447
si350,404.19983
si350,334.8722
si350,423.53638
si350,488.30707
si350,366.0223
si350,359.5611
si350,328.0026
si350,371.98843
si350,279.9024
si350,565.125
si1000,849.1111
si1000,1117.8469
si1000,1069.7914
si1000,952.1557
si1000,1127.9822
si1000,984.7325
si1000,851.0308
si1000,1018.32654
si1000,1000.1573
si1000,995.3282
si1000,964.0022
si1000,1128.2046
si1000,801.73834
si1000,1227.4098
si1000,1000.30426
si1000,998.6974
si1000,955.55646
si1000,960.52686
si5000,7561.5347
si5000,3792.337
si5000,4547.654
si5000,3862.843
si5000,4793.1963
si5000,5102.768
si5000,4613.3696
si5000,4769.3926
si5000,7710.186
si5000,7562.6084
si5000,4820.727
si5000,5728.9155
si5000,9521.626
si5000,9899.99
si5000,7325.784
si5000,5396.1914
si5000,6526.9497
si5000,7005.3413
si12500,7582.993
si12500,10746.745
si12500,12441.307
si12500,12240.595
si12500,12254.664
si12500,11637.259
si12500,12010.321
si12500,11992.029
si12500,12082.396
si12500,12188.296
si12500,12096.483
si12500,11720.944
si12500,11631.021
si12500,12094.001
si12500,12456.959
si12500,12193.912
si12500,12246.237
si12500,12061.088
si12500,11950.384
