time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0,0.027,31.3,0.031,31.3,0.032,31.2,0.025,31.3
0.5,0.022,31.2,0.02,31.3,0.025,31.3,0.026,31.3
1,0.025,31.2,0.018,31.2,0.025,31.2,0.017,31.2
1.5,0.023,31.2,0.059,31.2,0.018,31.2,0.016,31.2
2,0.026,31.2,0.025,31.2,0.029,31.2,0.042,31.2
2.5,0.022,31.2,0.019,31.2,0.024,31.3,0.017,31.2
3,0.024,31.2,0.019,31.2,0.018,31.2,0.024,31.2
3.5,0.018,31.2,0.019,31.2,0.017,31.2,0.02,31.2
4,0.016,31.2,0.018,31.2,0.011,31.2,0.016,31.1
4.5,0.02,31.2,0.02,31.2,0.021,31.2,0.018,31.3
5,0.014,31.2,0.01,31.2,0.017,31.2,0.026,31.2
5.5,0.018,31.2,0.017,31.2,0.023,31.2,0.019,31.2
6,0.023,31.2,0.021,31.2,0.017,31.2,0.019,31.3
6.5,0.024,31.2,0.023,31.2,0.014,31.2,0.02,31.2
7,0.02,31.2,0.016,31.1,0.015,31.2,0.01,31.2
7.5,0.021,31.2,0.014,31.2,0.011,31.1,0.011,31.2
8,0.021,31.2,0.022,31.2,0.045,31.2,0.018,31.2
8.5,0.019,31.2,0.027,31.2,0.03,31.2,0.017,31.2
9,0.021,31.2,0.024,31.2,0.021,31.1,0.018,31.2
9.5,0.021,31.2,0.03,31.2,0.02,31.2,0.017,31.1
10,0.018,31.2,0.019,31.2,0.021,31.2,0.025,31.2
10.5,0.021,31.2,0.02,31.2,0.016,31.2,0.026,31.2
11,0.019,31.2,0.022,31.2,0.042,31.2,0.019,31.1
11.5,0.02,31.2,0.022,31.2,0.024,31.2,0.02,31.1
12,0.019,31.1,0.018,31.1,0.02,31.2,0.019,31.1
12.5,0.018,31.2,0.017,31.2,0.018,31.2,0.019,31.2
13,0.015,31.2,0.019,31.1,0.02,31.1,0.015,31.2
13.5,0.011,31.2,0.012,31.2,0.013,31.2,0.019,31.2
14,0.015,31.2,0.033,31.2,0.012,31.2,0.019,31.2
14.5,0.017,31.2,0.021,31.2,0.01,31.2,0.024,31.1
15,0.006,31.2,0.008,31.2,0.009,31.2,0.04,31.1
15.5,0.012,31.2,0.016,31.2,0.022,31.2,0.004,31.1
16,0.013,31.2,0.015,31.1,0.013,31.2,0.002,31.1
16.5,0.018,31.2,0.018,31.2,0.037,31.2,0.013,31.2
17,0.017,31.2,0.016,31.2,0.015,31.2,0.013,31.2
17.5,0.018,31.1,0.017,31.1,0.017,31.1,0.013,31.2
18,0.015,31.2,0.014,31.1,0.015,31.2,0.014,31.2
18.5,0.009,31.2,0.009,31.2,0.008,31.2,0.011,31.1
19,-0.071,31.2,-0.077,31.2,-0.055,31.1,-0.007,31.1
19.5,-0.215,31,-0.22,31,-0.252,31.1,-0.2,31.1
20,-0.108,30.8,-0.107,30.8,-0.136,30.9,-0.166,30.9
20.5,-0.022,30.8,-0.018,30.8,-0.026,30.8,-0.025,30.7
21,-0.012,30.8,-0.011,30.8,-0.012,30.8,-0.015,30.8
21.5,-0.007,30.8,-0.006,30.8,-0.008,30.8,-0.01,30.8
22,-0.004,30.8,-0.005,30.8,-0.006,30.8,-0.006,30.8
22.5,-0.002,30.9,-0.004,30.9,-0.004,30.8,-0.001,30.9
23,-0.01,30.9,-0.01,30.9,-0.014,30.9,-0.008,30.9
23.5,-0.012,30.9,-0.007,30.9,-0.014,30.9,-0.011,30.9
24,-0.007,30.9,-0.003,30.9,-0.007,30.9,-0.006,30.9
24.5,-0.004,30.9,-0.002,30.9,-0.004,30.9,0,30.9
25,-0.013,31,-0.01,31,-0.009,30.9,-0.013,31
25.5,-0.018,31,-0.016,31,-0.016,31,-0.014,31
26,-0.025,31,-0.022,31,-0.024,31,-0.017,31
26.5,-0.027,31,-0.031,31,-0.031,31,-0.017,31
27,-0.02,31,-0.021,31,-0.033,31,-0.021,31
27.5,-0.011,31,-0.013,31,-0.009,31,-0.015,31
28,-0.018,31,-0.015,31,-0.014,31,-0.016,31
28.5,-0.033,31,-0.03,31,-0.021,31.1,-0.028,31
29,-0.033,31,-0.031,31,-0.028,31,-0.031,31
29.5,-0.033,31,-0.038,31,-0.032,31,-0.034,31
30,-0.032,31,-0.035,31,-0.031,31,-0.033,31
30.5,-0.024,31,-0.026,31,-0.025,31,-0.021,31
31,-0.022,31,-0.021,31,-0.023,31,-0.019,30.9
31.5,-0.02,31,-0.017,31,-0.02,31,-0.019,30.9
32,-0.017,31,-0.019,31,-0.014,31,-0.019,31
32.5,-0.015,31,-0.015,30.9,-0.015,31,-0.016,31
33,-0.015,31,-0.014,31,-0.013,31,-0.019,31
33.5,-0.023,31,-0.027,31,-0.023,31,-0.021,30.9
34,-0.025,31,-0.025,31,-0.028,31,-0.026,31
34.5,-0.024,31,-0.021,31,-0.024,30.9,-0.014,31
35,-0.019,31,-0.018,31,-0.022,31,-0.02,31
35.5,-0.017,31,-0.016,31,-0.014,31,-0.017,30.9
36,-0.021,31,-0.019,31,-0.019,30.9,-0.021,30.9
36.5,-0.016,31,-0.016,31,-0.017,30.9,-0.017,31
37,-0.003,31,-0.003,30.9,-0.01,31,-0.005,31
37.5,-0.003,31,-0.004,31,-0.005,31,0.007,31
38,0.005,31,0.004,31,0.004,31,0,31
38.5,0.009,31,0.006,31,0.009,31,0.006,31
39,0.014,31,0.009,31,0.018,31,0.01,31
39.5,0.019,31,0.019,31,0.02,31,0.02,31
40,0.022,31,0.016,31,0.024,31,0.013,31
40.5,0.027,31,0.039,31,0.022,31,0.028,31
41,0.026,31,0.025,31,0.023,31,0.027,31
41.5,0.03,31,0.021,31,0.025,31,0.019,31
42,0.03,31,0.02,31,0.025,31,0.024,31.1
42.5,0.027,31,0.054,31,0.03,31,0.029,31
43,0.033,31,0.027,31,0.023,31,0.027,31
43.5,0.031,31,0.034,31,0.036,31,0.026,31
44,0.034,31,0.034,31,0.03,31,0.048,31
44.5,0.036,30.9,0.035,30.9,0.025,31,0.1,30.9
45,0.027,30.9,0.023,30.9,0.023,30.9,0.033,30.9
45.5,0.026,30.9,0.027,30.9,0.025,30.9,0.024,30.9
46,0.027,30.9,0.024,30.9,0.028,30.9,0.021,30.9
46.5,0.028,30.9,0.03,30.9,0.028,30.9,0.021,30.9
47,0.026,30.9,0.019,30.9,0.037,30.9,0.022,30.9
47.5,0.03,30.9,0.025,30.9,0.102,30.9,0.024,30.9
48,0.032,30.9,0.031,30.9,0.044,30.9,0.03,30.9
48.5,0.034,30.9,0.034,30.9,0.04,30.8,0.035,30.9
49,0.034,30.9,0.024,30.9,0.053,30.8,0.03,30.9
49.5,0.034,30.8,0.037,30.8,0.067,30.8,0.073,30.8
50,0.036,30.8,0.054,30.8,0.041,30.8,0.075,30.8
50.5,0.04,30.8,0.07,30.8,0.04,30.8,0.036,30.8
51,0.032,30.8,0.03,30.8,0.028,30.8,0.03,30.8
51.5,0.034,30.8,0.034,30.8,0.066,30.8,0.035,30.8
52,0.032,30.8,0.034,30.8,0.031,30.8,0.026,30.8
52.5,0.038,30.8,0.032,30.8,0.028,30.8,0.038,30.8
53,0.041,30.8,0.034,30.8,0.034,30.8,0.038,30.7
53.5,0.042,30.7,0.032,30.7,0.037,30.7,0.036,30.7
54,0.035,30.7,0.034,30.7,0.039,30.7,0.04,30.7
54.5,0.031,30.7,0.035,30.7,0.023,30.7,0.035,30.7
55,0.027,30.7,0.026,30.7,0.022,30.7,0.029,30.7
55.5,0.029,30.7,0.032,30.7,0.018,30.7,0.024,30.7
56,0.03,30.7,0.026,30.7,0.028,30.7,0.034,30.7
56.5,0.032,30.7,0.026,30.7,0.043,30.7,0.032,30.7
57,0.027,30.7,0.028,30.7,0.031,30.7,0.023,30.6
57.5,0.033,30.7,0.034,30.7,0.028,30.7,0.032,30.6
58,0.036,30.7,0.033,30.7,0.021,30.7,0.041,30.7
58.5,0.038,30.7,0.033,30.7,0.024,30.7,0.028,30.7
59,0.039,30.6,0.03,30.6,0.037,30.7,0.035,30.6
59.5,0.041,30.6,0.036,30.6,0.032,30.7,0.04,30.6
60,0.034,30.6,0.035,30.7,0.042,30.7,0.019,30.7
60.5,0.033,30.6,0.058,30.6,0.028,30.6,0.02,30.6
61,0.035,30.6,0.034,30.6,0.03,30.6,0.027,30.6
61.5,0.033,30.6,0.028,30.6,0.023,30.6,0.028,30.6
62,0.035,30.6,0.033,30.6,0.047,30.6,0.033,30.6
62.5,0.038,30.6,0.033,30.6,0.088,30.6,0.043,30.6
63,0.031,30.6,0.03,30.6,0.036,30.6,0.041,30.6
63.5,0.036,30.6,0.041,30.6,0.03,30.6,0.034,30.5
64,0.032,30.6,0.033,30.6,0.03,30.6,0.038,30.5
64.5,0.03,30.6,0.032,30.6,0.03,30.6,0.028,30.5
65,0.029,30.6,0.024,30.6,0.038,30.6,0.028,30.5
65.5,0.032,30.6,0.028,30.6,0.062,30.5,0.029,30.5
