time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0.0,0.038,27.4,0.036,27.4,0.039,27.4,0.038,27.4
0.5,0.042,27.4,0.041,27.4,0.044,27.4,0.043,27.4
1.0,0.033,27.3,0.032,27.3,0.034,27.3,0.033,27.3
1.5,0.037,27.4,0.036,27.4,0.035,27.3,0.036,27.4
2.0,0.045,27.4,0.045,27.4,0.043,27.3,0.044,27.4
2.5,0.050,27.3,0.048,27.3,0.051,27.3,0.049,27.3
3.0,0.052,27.3,0.050,27.3,0.051,27.3,0.052,27.3
3.5,0.054,27.3,0.054,27.3,0.055,27.3,0.052,27.3
4.0,0.051,27.3,0.051,27.3,0.051,27.3,0.054,27.3
4.5,0.053,27.2,0.052,27.2,0.051,27.3,0.060,27.2
5.0,0.050,27.2,0.048,27.2,0.050,27.2,0.054,27.2
5.5,0.051,27.2,0.049,27.2,0.051,27.3,0.053,27.2
6.0,0.053,27.2,0.050,27.2,0.058,27.2,0.050,27.2
6.5,0.054,27.2,0.052,27.2,0.060,27.2,0.052,27.2
7.0,0.061,27.2,0.059,27.2,0.059,27.2,0.056,27.2
7.5,0.057,27.2,0.058,27.2,0.058,27.2,0.068,27.2
8.0,0.054,27.2,0.053,27.2,0.056,27.2,0.054,27.2
8.5,0.045,27.2,0.045,27.2,0.044,27.2,0.045,27.2
9.0,0.045,27.2,0.043,27.2,0.048,27.2,0.042,27.2
9.5,0.046,27.1,0.045,27.2,0.049,27.1,0.046,27.2
10.0,0.042,27.2,0.040,27.2,0.044,27.1,0.042,27.2
10.5,0.046,27.2,0.046,27.2,0.045,27.2,0.045,27.2
11.0,0.043,27.2,0.042,27.2,0.041,27.2,0.044,27.2
11.5,0.049,27.2,0.048,27.2,0.044,27.2,0.046,27.1
12.0,0.055,27.2,0.052,27.2,0.052,27.2,0.053,27.2
12.5,0.057,27.2,0.055,27.2,0.053,27.2,0.056,27.2
13.0,0.060,27.1,0.059,27.1,0.058,27.2,0.059,27.1
13.5,0.056,27.1,0.056,27.1,0.064,27.2,0.056,27.1
14.0,0.056,27.1,0.053,27.1,0.055,27.1,0.059,27.1
14.5,0.052,27.1,0.051,27.1,0.052,27.1,0.054,27.1
15.0,0.054,27.1,0.052,27.1,0.053,27.1,0.052,27.1
15.5,0.059,27.1,0.060,27.1,0.057,27.1,0.060,27.1
