time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0,-0.016,33.5,-0.016,33.5,-0.016,33.5,-0.016,33.5
0.5,-0.016,33.5,-0.014,33.5,-0.016,33.6,-0.016,33.5
1,-0.016,33.5,-0.015,33.5,-0.017,33.5,-0.016,33.5
1.5,-0.016,33.5,-0.015,33.5,-0.014,33.5,-0.017,33.6
2,-0.016,33.6,-0.017,33.5,-0.014,33.6,-0.018,33.6
2.5,-0.016,33.6,-0.017,33.5,-0.016,33.6,-0.016,33.6
3,-0.016,33.6,-0.016,33.6,-0.018,33.5,-0.017,33.6
3.5,-0.016,33.6,-0.016,33.6,-0.017,33.6,-0.017,33.6
4,-0.016,33.6,-0.017,33.6,-0.015,33.6,-0.016,33.6
4.5,-0.016,33.6,-0.015,33.6,-0.016,33.6,-0.016,33.6
5,-0.016,33.6,-0.017,33.6,-0.018,33.6,-0.017,33.6
5.5,-0.016,33.7,-0.016,33.7,-0.016,33.6,-0.016,33.7
6,-0.016,33.6,-0.017,33.6,-0.017,33.6,-0.015,33.6
6.5,-0.016,33.7,-0.016,33.7,-0.017,33.7,-0.015,33.6
7,-0.016,33.7,-0.016,33.7,-0.018,33.7,-0.016,33.7
7.5,-0.016,33.7,-0.016,33.7,-0.016,33.6,-0.015,33.7
8,-0.016,33.7,-0.017,33.7,-0.015,33.7,-0.017,33.7
8.5,-0.016,33.7,-0.017,33.7,-0.016,33.7,-0.014,33.7
9,-0.016,33.7,-0.016,33.7,-0.015,33.7,-0.016,33.7
9.5,-0.016,33.7,-0.018,33.7,-0.017,33.7,-0.017,33.7
10,-0.017,33.7,-0.016,33.7,-0.018,33.7,-0.017,33.7
10.5,-0.016,33.7,-0.017,33.7,-0.017,33.7,-0.017,33.7
11,-0.016,33.7,-0.016,33.7,-0.015,33.7,-0.018,33.7
11.5,-0.017,33.7,-0.017,33.7,-0.018,33.7,-0.017,33.7
12,-0.017,33.7,-0.016,33.8,-0.015,33.7,-0.016,33.8
12.5,-0.017,33.8,-0.016,33.8,-0.016,33.7,-0.017,33.7
13,-0.018,33.8,-0.017,33.8,-0.018,33.7,-0.018,33.7
13.5,-0.018,33.8,-0.017,33.8,-0.017,33.8,-0.017,33.7
14,-0.023,33.7,-0.022,33.8,-0.023,33.7,-0.021,33.7
