time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0,-0.008,31.8,-0.01,31.8,-0.005,31.9,-0.007,31.9
0.5,-0.009,31.9,-0.01,31.9,-0.006,31.9,-0.008,31.8
1,-0.002,31.9,0,31.9,-0.002,31.9,-0.004,31.9
1.5,-0.003,31.9,-0.004,31.9,0,31.9,-0.003,31.9
2,-0.002,31.9,0.006,31.9,-0.001,31.9,-0.004,31.9
2.5,-0.003,31.9,-0.001,31.9,-0.002,31.9,-0.004,31.9
3,-0.003,32,-0.003,32,-0.003,32,0.013,31.9
3.5,-0.003,32,-0.003,32,-0.006,32,0.024,31.9
4,-0.005,32,-0.004,32,-0.007,32,0.005,32
4.5,-0.007,32,-0.008,32,-0.002,32,-0.008,32
5,-0.007,32,-0.004,32,-0.006,32,-0.006,32
5.5,-0.005,32.1,-0.007,32.1,-0.005,32.1,-0.008,32.1
6,-0.002,32.1,-0.005,32.1,-0.002,32.1,-0.002,32.1
6.5,-0.002,32.1,-0.003,32.1,-0.003,32.1,0.004,32.1
7,-0.002,32.1,-0.001,32.1,-0.002,32.1,-0.002,32.1
7.5,-0.004,32.1,-0.005,32.1,-0.006,32.1,-0.004,32.1
8,-0.004,32.1,0.002,32.1,-0.006,32.1,-0.005,32.1
8.5,-0.004,32.1,-0.005,32.1,-0.008,32.1,-0.006,32.1
9,-0.005,32.2,-0.002,32.1,-0.007,32.1,0.008,32.1
9.5,-0.005,32.1,-0.006,32.1,-0.007,32.1,0.003,32.1
10,-0.008,32.1,-0.009,32.1,-0.01,32.1,-0.009,32.1
10.5,-0.008,32.2,-0.009,32.2,-0.008,32.1,-0.009,32.2
11,-0.002,32.2,0.002,32.2,-0.002,32.2,-0.004,32.2
11.5,-0.001,32.2,-0.002,32.2,-0.002,32.2,-0.006,32.2
12,-0.002,32.2,0.001,32.2,0.002,32.2,-0.003,32.2
12.5,-0.003,32.2,-0.003,32.2,-0.002,32.2,-0.005,32.2
13,-0.006,32.2,-0.007,32.2,-0.002,32.2,-0.006,32.3
13.5,-0.007,32.2,-0.008,32.2,-0.007,32.2,-0.009,32.2
14,-0.007,32.2,-0.008,32.2,-0.008,32.2,-0.004,32.3
14.5,-0.006,32.3,-0.009,32.3,-0.011,32.3,-0.004,32.3
15,-0.004,32.3,-0.006,32.3,-0.004,32.2,-0.004,32.2
15.5,-0.002,32.3,-0.003,32.3,-0.004,32.3,0,32.2
16,-0.005,32.3,-0.005,32.3,-0.004,32.2,0,32.3
16.5,-0.005,32.3,-0.006,32.3,-0.006,32.3,-0.007,32.3
17,-0.004,32.3,-0.005,32.2,-0.007,32.3,-0.006,32.3
17.5,-0.005,32.3,-0.002,32.3,-0.007,32.3,-0.006,32.3
18,-0.006,32.3,-0.004,32.3,0.002,32.3,-0.005,32.3
18.5,-0.006,32.3,-0.005,32.3,0.002,32.3,-0.006,32.3
19,-0.007,32.3,-0.005,32.3,-0.007,32.3,-0.008,32.3
19.5,-0.008,32.3,-0.009,32.3,-0.008,32.3,-0.008,32.4
20,-0.005,32.4,-0.004,32.4,0.006,32.4,-0.007,32.4
20.5,-0.003,32.3,-0.004,32.3,-0.002,32.3,-0.002,32.4
21,-0.003,32.3,0.003,32.3,-0.004,32.4,-0.002,32.3
21.5,-0.002,32.4,-0.006,32.4,0.001,32.4,-0.001,32.4
22,-0.005,32.4,-0.005,32.4,0.016,32.3,-0.005,32.4
22.5,-0.004,32.4,-0.004,32.4,-0.004,32.4,-0.004,32.4
23,-0.003,32.3,-0.001,32.4,-0.006,32.4,-0.008,32.3
23.5,-0.004,32.4,-0.003,32.3,0.005,32.4,-0.002,32.4
24,-0.004,32.4,-0.006,32.4,-0.002,32.4,-0.004,32.4
24.5,-0.002,32.4,-0.002,32.4,-0.005,32.4,0.003,32.4
25,-0.002,32.4,-0.002,32.3,-0.001,32.4,0.015,32.4
25.5,-0.001,32.4,-0.001,32.4,0.002,32.4,-0.001,32.3
26,-0.001,32.4,0,32.4,-0.003,32.4,-0.005,32.4
26.5,-0.002,32.4,-0.004,32.4,-0.005,32.4,0,32.4
27,-0.003,32.3,-0.006,32.4,-0.003,32.3,-0.006,32.3
27.5,-0.004,32.3,-0.005,32.3,-0.005,32.3,-0.001,32.3
28,-0.006,32.4,-0.006,32.4,-0.006,32.3,0.014,32.4
28.5,-0.008,32.4,-0.008,32.4,-0.008,32.4,-0.008,32.4
29,-0.009,32.4,-0.008,32.4,-0.008,32.4,-0.011,32.4
29.5,-0.005,32.4,-0.006,32.4,-0.007,32.4,0,32.3
30,-0.004,32.4,-0.004,32.4,0,32.4,-0.006,32.4
30.5,-0.002,32.4,-0.002,32.4,0.001,32.4,-0.006,32.4
31,-0.004,32.4,-0.006,32.4,-0.006,32.4,0.002,32.4
