time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0.0,0.079,29.5,0.078,29.5,0.079,29.4,0.080,29.5
0.5,0.077,29.5,0.077,29.5,0.078,29.5,0.077,29.5
1.0,0.075,29.5,0.074,29.5,0.076,29.6,0.074,29.5
1.5,0.073,29.6,0.074,29.5,0.074,29.6,0.075,29.6
2.0,0.072,29.6,0.072,29.6,0.072,29.6,0.073,29.6
2.5,0.070,29.6,0.071,29.6,0.070,29.6,0.072,29.6
3.0,0.068,29.6,0.069,29.6,0.069,29.6,0.069,29.6
3.5,0.067,29.6,0.066,29.6,0.069,29.7,0.068,29.6
4.0,0.065,29.7,0.067,29.7,0.065,29.6,0.068,29.7
4.5,0.064,29.7,0.064,29.7,0.064,29.7,0.064,29.7
5.0,0.062,29.7,0.064,29.7,0.063,29.7,0.063,29.7
5.5,0.060,29.7,0.061,29.7,0.062,29.7,0.064,29.7
6.0,0.058,29.8,0.060,29.8,0.059,29.7,0.061,29.8
6.5,0.058,29.8,0.058,29.8,0.058,29.8,0.058,29.8
7.0,0.056,29.8,0.056,29.8,0.058,29.8,0.057,29.8
7.5,0.055,29.8,0.056,29.8,0.055,29.8,0.055,29.8
8.0,0.054,29.9,0.055,29.9,0.054,29.8,0.053,29.8
8.5,0.053,29.9,0.054,29.8,0.054,29.9,0.054,29.9
9.0,0.052,29.9,0.052,29.9,0.052,29.9,0.050,30.0
9.5,0.052,29.9,0.052,29.9,0.052,29.9,0.051,29.9
10.0,0.050,29.9,0.050,29.9,0.052,29.9,0.050,29.9
10.5,0.050,29.9,0.049,29.9,0.048,29.9,0.049,29.9
11.0,0.049,29.9,0.048,29.9,0.049,29.9,0.048,29.9
11.5,0.048,29.9,0.049,29.9,0.048,29.9,0.050,29.9
12.0,0.048,30.0,0.049,30.0,0.048,29.9,0.049,30.0
12.5,0.048,30.0,0.048,30.0,0.047,30.0,0.047,30.0
13.0,0.046,30.0,0.047,30.0,0.046,30.0,0.046,30.0
13.5,0.046,30.0,0.047,30.0,0.046,30.0,0.048,30.1
14.0,0.046,30.1,0.046,30.1,0.046,30.0,0.047,30.0
14.5,0.045,30.1,0.046,30.1,0.045,30.0,0.046,30.0
15.0,0.044,30.1,0.045,30.1,0.046,30.0,0.046,30.1
15.5,0.044,30.1,0.046,30.1,0.044,30.1,0.044,30.1
16.0,0.044,30.1,0.043,30.1,0.044,30.1,0.045,30.0
16.5,0.044,30.1,0.043,30.1,0.044,30.1,0.045,30.1
17.0,0.044,30.1,0.044,30.1,0.044,30.1,0.046,30.1
17.5,0.044,30.1,0.044,30.1,0.044,30.1,0.046,30.1
18.0,0.044,30.1,0.043,30.1,0.044,30.1,0.044,30.1
18.5,0.043,30.2,0.043,30.2,0.044,30.2,0.043,30.1
19.0,0.043,30.2,0.044,30.1,0.045,30.2,0.042,30.2
19.5,0.042,30.2,0.042,30.2,0.045,30.2,0.042,30.1
20.0,0.043,30.2,0.042,30.2,0.043,30.2,0.042,30.2
20.5,0.044,30.2,0.044,30.2,0.043,30.2,0.043,30.2
21.0,0.043,30.2,0.042,30.2,0.045,30.2,0.042,30.2
21.5,0.043,30.2,0.043,30.2,0.044,30.2,0.043,30.2
22.0,0.042,30.2,0.042,30.2,0.044,30.2,0.042,30.2
22.5,0.043,30.2,0.045,30.2,0.042,30.2,0.044,30.2
23.0,0.042,30.2,0.042,30.2,0.042,30.2,0.042,30.2
23.5,0.043,30.2,0.043,30.2,0.044,30.3,0.043,30.2
24.0,0.042,30.2,0.044,30.2,0.043,30.3,0.044,30.2
24.5,0.042,30.2,0.042,30.2,0.044,30.3,0.043,30.2
25.0,0.042,30.3,0.041,30.3,0.042,30.2,0.042,30.2
25.5,0.042,30.3,0.042,30.3,0.042,30.2,0.043,30.3
26.0,0.042,30.3,0.044,30.3,0.042,30.3,0.044,30.3
26.5,0.042,30.3,0.043,30.3,0.043,30.3,0.043,30.3
27.0,0.042,30.3,0.044,30.3,0.042,30.3,0.044,30.3
27.5,0.042,30.3,0.043,30.3,0.042,30.2,0.044,30.3
28.0,0.042,30.3,0.041,30.3,0.042,30.2,0.041,30.3
28.5,0.042,30.3,0.044,30.4,0.043,30.3,0.042,30.3
29.0,0.042,30.3,0.044,30.3,0.043,30.3,0.042,30.3
29.5,0.042,30.3,0.043,30.3,0.043,30.3,0.042,30.3
30.0,0.042,30.3,0.043,30.3,0.042,30.3,0.041,30.3
30.5,0.042,30.3,0.043,30.3,0.043,30.3,0.042,30.3
31.0,0.042,30.4,0.042,30.4,0.042,30.4,0.041,30.4
31.5,0.042,30.4,0.043,30.4,0.042,30.3,0.044,30.4
32.0,0.042,30.4,0.042,30.4,0.042,30.4,0.046,30.3
32.5,0.042,30.4,0.043,30.4,0.044,30.4,0.041,30.4
33.0,0.042,30.4,0.043,30.4,0.043,30.4,0.041,30.4
33.5,0.042,30.4,0.042,30.4,0.042,30.4,0.040,30.4
34.0,0.041,30.4,0.041,30.4,0.041,30.4,0.040,30.4
34.5,0.042,30.4,0.040,30.4,0.042,30.4,0.041,30.4
35.0,0.042,30.4,0.041,30.4,0.042,30.4,0.041,30.4
35.5,0.042,30.4,0.041,30.4,0.042,30.4,0.041,30.4
36.0,0.042,30.4,0.041,30.4,0.041,30.4,0.042,30.4
36.5,0.042,30.4,0.042,30.4,0.042,30.4,0.042,30.5
37.0,0.042,30.4,0.040,30.4,0.041,30.4,0.041,30.4
37.5,0.042,30.4,0.042,30.4,0.041,30.4,0.040,30.4
