time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0,-0.01,32.6,-0.007,32.6,-0.011,32.6,-0.012,32.5
0.5,-0.011,32.6,-0.01,32.6,-0.01,32.6,-0.01,32.6
1,-0.01,32.6,-0.009,32.6,-0.011,32.6,-0.012,32.6
1.5,-0.01,32.6,-0.01,32.6,-0.011,32.6,-0.009,32.6
2,-0.01,32.6,-0.011,32.6,-0.012,32.6,-0.01,32.6
2.5,-0.01,32.6,-0.011,32.6,-0.012,32.6,-0.009,32.6
3,-0.011,32.6,-0.011,32.6,-0.01,32.7,-0.012,32.6
3.5,-0.01,32.6,-0.009,32.6,-0.011,32.6,-0.013,32.6
4,-0.012,32.6,-0.013,32.6,-0.014,32.6,-0.011,32.6
4.5,-0.012,32.6,-0.012,32.6,-0.012,32.6,-0.012,32.6
5,-0.011,32.6,-0.012,32.6,-0.012,32.6,-0.01,32.6
5.5,-0.011,32.6,-0.011,32.6,-0.011,32.7,-0.012,32.6
6,-0.011,32.6,-0.011,32.6,-0.011,32.6,-0.011,32.6
6.5,-0.012,32.6,-0.012,32.7,-0.014,32.7,-0.012,32.6
7,-0.012,32.6,-0.011,32.6,-0.011,32.6,-0.012,32.6
7.5,-0.013,32.6,-0.013,32.6,-0.01,32.6,-0.013,32.6
8,-0.014,32.6,-0.013,32.6,-0.015,32.6,-0.012,32.6
8.5,-0.014,32.6,-0.015,32.6,-0.012,32.7,-0.013,32.6
9,-0.014,32.7,-0.013,32.7,-0.014,32.7,-0.013,32.7
9.5,-0.012,32.7,-0.011,32.7,-0.012,32.6,-0.013,32.7
10,-0.012,32.7,-0.012,32.6,-0.009,32.7,-0.011,32.6
10.5,-0.012,32.7,-0.012,32.7,-0.013,32.7,-0.012,32.7
11,-0.011,32.7,-0.011,32.7,-0.01,32.7,-0.012,32.7
11.5,-0.012,32.6,-0.011,32.6,-0.012,32.7,-0.012,32.7
12,-0.011,32.6,-0.012,32.6,-0.012,32.7,-0.012,32.7
12.5,-0.012,32.6,-0.01,32.6,-0.011,32.6,-0.011,32.7
13,-0.012,32.6,-0.012,32.7,-0.01,32.6,-0.012,32.6
13.5,-0.012,32.6,-0.011,32.7,-0.012,32.6,-0.012,32.7
14,-0.014,32.6,-0.014,32.7,-0.013,32.7,-0.015,32.7
14.5,-0.013,32.6,-0.014,32.6,-0.013,32.6,-0.015,32.7
15,-0.012,32.7,-0.013,32.6,-0.013,32.6,-0.012,32.6
15.5,-0.012,32.6,-0.011,32.6,-0.012,32.6,-0.012,32.7
16,-0.012,32.7,-0.011,32.7,-0.011,32.6,-0.014,32.6
16.5,-0.012,32.6,-0.012,32.6,-0.012,32.6,-0.012,32.6
17,-0.012,32.6,-0.012,32.7,-0.012,32.6,-0.012,32.7
17.5,-0.013,32.7,-0.013,32.7,-0.014,32.7,-0.012,32.7
18,-0.013,32.6,-0.013,32.6,-0.014,32.7,-0.012,32.6
18.5,-0.014,32.6,-0.013,32.6,-0.011,32.6,-0.014,32.7
19,-0.014,32.7,-0.013,32.7,-0.01,32.6,-0.013,32.7
19.5,-0.013,32.6,-0.012,32.6,-0.012,32.6,-0.011,32.7
20,-0.012,32.7,-0.014,32.7,-0.011,32.7,-0.013,32.7
20.5,-0.01,32.7,-0.011,32.7,-0.012,32.7,-0.012,32.7
21,-0.011,32.7,-0.01,32.7,-0.008,32.7,-0.012,32.7
21.5,-0.011,32.6,-0.011,32.6,-0.01,32.6,-0.011,32.6
22,-0.011,32.6,-0.012,32.6,-0.011,32.6,-0.009,32.6
22.5,-0.012,32.6,-0.012,32.6,-0.012,32.6,-0.014,32.6
23,-0.012,32.6,-0.011,32.6,-0.012,32.6,-0.012,32.7
23.5,-0.013,32.6,-0.013,32.6,-0.012,32.7,-0.013,32.6
24,-0.014,32.6,-0.014,32.6,-0.014,32.6,-0.013,32.6
24.5,-0.013,32.6,-0.013,32.6,-0.014,32.6,-0.012,32.6
25,-0.012,32.6,-0.013,32.6,-0.011,32.6,-0.01,32.6
25.5,-0.012,32.6,-0.011,32.6,-0.013,32.6,-0.012,32.6
26,-0.012,32.6,-0.011,32.6,-0.012,32.6,-0.012,32.6
26.5,-0.012,32.6,-0.012,32.6,-0.013,32.6,-0.012,32.6
27,-0.013,32.6,-0.013,32.6,-0.013,32.6,-0.012,32.6
27.5,-0.013,32.6,-0.013,32.6,-0.014,32.6,-0.012,32.6
28,-0.014,32.6,-0.013,32.6,-0.014,32.6,-0.013,32.6
28.5,-0.014,32.6,-0.015,32.6,-0.014,32.6,-0.014,32.6
29,-0.014,32.6,-0.013,32.6,-0.012,32.6,-0.013,32.6
29.5,-0.012,32.6,-0.012,32.6,-0.012,32.6,-0.012,32.6
30,-0.012,32.6,-0.011,32.6,-0.012,32.6,-0.012,32.6
30.5,-0.01,32.6,-0.01,32.6,-0.01,32.6,-0.01,32.6
31,-0.011,32.6,-0.011,32.6,-0.01,32.7,-0.009,32.6
31.5,-0.011,32.6,-0.011,32.6,-0.01,32.6,-0.011,32.6
32,-0.012,32.6,-0.011,32.6,-0.009,32.5,-0.01,32.6
32.5,-0.011,32.5,-0.01,32.6,-0.009,32.5,-0.005,32.6
33,-0.012,32.5,-0.011,32.6,-0.011,32.6,-0.006,32.5
33.5,-0.012,32.5,-0.012,32.6,-0.012,32.6,-0.011,32.5
34,-0.012,32.5,-0.013,32.6,-0.011,32.5,-0.013,32.5
34.5,-0.012,32.5,-0.014,32.5,-0.01,32.5,-0.013,32.5
35,-0.012,32.5,-0.012,32.5,-0.009,32.6,-0.01,32.5
35.5,-0.012,32.5,-0.011,32.5,-0.012,32.5,-0.013,32.5
36,-0.012,32.5,-0.013,32.5,-0.013,32.5,-0.012,32.5
36.5,-0.012,32.5,-0.012,32.5,-0.011,32.5,-0.012,32.5
37,-0.013,32.6,-0.014,32.6,-0.012,32.6,-0.013,32.6
37.5,-0.013,32.5,-0.013,32.5,-0.013,32.5,-0.014,32.6
38,-0.013,32.6,-0.013,32.6,-0.013,32.5,-0.013,32.5
38.5,-0.014,32.5,-0.014,32.6,-0.015,32.5,-0.015,32.6
39,-0.013,32.6,-0.013,32.6,-0.013,32.5,-0.013,32.6
39.5,-0.011,32.6,-0.011,32.6,-0.012,32.6,-0.013,32.6
40,-0.011,32.6,-0.009,32.5,-0.013,32.5,-0.011,32.6
40.5,-0.011,32.5,-0.011,32.5,-0.012,32.6,-0.012,32.5
41,-0.011,32.6,-0.011,32.6,-0.011,32.6,-0.01,32.5
41.5,-0.011,32.5,-0.01,32.6,-0.012,32.5,-0.01,32.5
42,-0.011,32.5,-0.012,32.5,-0.011,32.5,-0.011,32.5
42.5,-0.011,32.5,-0.012,32.5,-0.011,32.5,-0.012,32.5
43,-0.011,32.5,-0.011,32.5,-0.01,32.5,-0.011,32.5
43.5,-0.012,32.5,-0.01,32.5,-0.011,32.5,-0.01,32.5
44,-0.012,32.5,-0.013,32.5,-0.012,32.5,-0.011,32.5
44.5,-0.012,32.5,-0.014,32.4,-0.011,32.5,-0.012,32.5
45,-0.012,32.5,-0.012,32.5,-0.012,32.5,-0.013,32.5
45.5,-0.012,32.5,-0.011,32.5,-0.01,32.5,-0.012,32.5
46,-0.012,32.5,-0.011,32.5,-0.012,32.5,-0.012,32.5
46.5,-0.012,32.5,-0.013,32.5,-0.011,32.5,-0.011,32.5
47,-0.012,32.5,-0.014,32.4,-0.014,32.5,-0.012,32.5
47.5,-0.013,32.5,-0.012,32.5,-0.015,32.5,-0.013,32.4
48,-0.013,32.5,-0.013,32.5,-0.012,32.5,-0.012,32.5
48.5,-0.012,32.5,-0.013,32.5,-0.012,32.5,-0.012,32.5
49,-0.012,32.5,-0.011,32.5,-0.011,32.5,-0.012,32.5
49.5,-0.011,32.5,-0.011,32.5,-0.012,32.5,-0.011,32.5
50,-0.011,32.5,-0.008,32.5,-0.011,32.5,-0.01,32.4
50.5,-0.011,32.5,-0.011,32.5,-0.011,32.5,-0.01,32.4
51,-0.01,32.5,-0.011,32.5,-0.012,32.5,-0.01,32.5
51.5,-0.01,32.5,-0.01,32.5,-0.012,32.5,-0.011,32.5
52,-0.011,32.4,-0.009,32.4,-0.011,32.5,-0.011,32.4
52.5,-0.011,32.4,-0.01,32.4,-0.011,32.4,-0.011,32.4
53,-0.011,32.4,-0.01,32.4,-0.01,32.4,-0.011,32.5
53.5,-0.012,32.4,-0.011,32.4,-0.011,32.4,-0.012,32.4
54,-0.012,32.4,-0.01,32.4,-0.012,32.4,-0.012,32.4
54.5,-0.012,32.4,-0.011,32.4,-0.013,32.4,-0.01,32.4
55,-0.013,32.4,-0.012,32.4,-0.014,32.4,-0.012,32.4
55.5,-0.012,32.4,-0.011,32.4,-0.014,32.4,-0.012,32.4
56,-0.013,32.4,-0.012,32.4,-0.014,32.4,-0.01,32.4
56.5,-0.012,32.4,-0.012,32.4,-0.016,32.4,-0.011,32.4
57,-0.012,32.5,-0.013,32.5,-0.016,32.4,-0.011,32.4
57.5,-0.012,32.4,-0.012,32.4,-0.015,32.4,-0.012,32.4
