time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0.0,0.012,32.0,0.014,32.0,0.016,31.9,0.013,32.0
0.5,0.011,32.0,0.012,32.0,0.011,32.0,0.010,32.0
1.0,0.009,32.0,0.009,32.0,0.010,32.0,0.009,32.0
1.5,0.004,32.0,0.004,32.0,0.005,32.0,0.004,32.0
2.0,0.000,32.0,-0.000,32.0,0.001,32.0,0.000,32.0
2.5,-0.001,32.1,-0.000,32.1,0.000,32.0,-0.002,32.0
3.0,0.001,32.1,0.001,32.1,0.004,32.1,0.003,32.1
3.5,0.005,32.1,0.006,32.1,0.008,32.1,0.004,32.1
4.0,0.004,32.1,0.005,32.1,0.007,32.1,0.006,32.1
4.5,0.003,32.1,0.003,32.1,0.005,32.1,0.002,32.1
5.0,0.000,32.1,0.000,32.1,0.005,32.1,-0.001,32.1
5.5,-0.002,32.1,-0.002,32.2,0.002,32.1,-0.001,32.1
6.0,-0.003,32.2,-0.004,32.1,-0.002,32.2,-0.002,32.2
6.5,-0.014,32.2,-0.014,32.2,-0.013,32.2,-0.012,32.2
7.0,-0.031,32.2,-0.031,32.2,-0.027,32.2,-0.028,32.2
7.5,-0.069,32.2,-0.068,32.2,-0.068,32.2,-0.063,32.3
8.0,-0.123,32.2,-0.122,32.2,-0.117,32.3,-0.116,32.2
8.5,-0.173,32.1,-0.171,32.1,-0.166,32.2,-0.169,32.1
9.0,-0.181,31.9,-0.181,31.9,-0.178,32.0,-0.182,32.0
9.5,-0.141,31.8,-0.139,31.8,-0.152,31.8,-0.150,31.8
10.0,-0.089,31.7,-0.089,31.7,-0.117,31.8,-0.100,31.7
10.5,-0.058,31.7,-0.058,31.8,-0.064,31.7,-0.065,31.8
11.0,-0.042,31.8,-0.041,31.8,-0.044,31.8,-0.041,31.8
11.5,-0.032,31.9,-0.033,31.9,-0.032,31.9,-0.035,31.9
12.0,-0.029,32.0,-0.029,32.0,-0.029,31.9,-0.031,32.0
12.5,-0.021,32.0,-0.022,32.0,-0.025,32.0,-0.023,32.0
13.0,-0.026,32.1,-0.025,32.1,-0.022,32.0,-0.025,32.1
13.5,-0.027,32.1,-0.026,32.2,-0.022,32.0,-0.026,32.1
14.0,-0.028,32.2,-0.028,32.2,-0.027,32.1,-0.028,32.2
14.5,-0.031,32.2,-0.031,32.2,-0.031,32.2,-0.031,32.2
15.0,-0.030,32.3,-0.029,32.3,-0.033,32.3,-0.030,32.3
