time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0.0,0.073,31.4,0.073,31.3,0.073,31.4,0.074,31.3
0.5,0.067,31.3,0.066,31.4,0.069,31.3,0.070,31.3
1.0,0.056,31.3,0.055,31.4,0.062,31.3,0.067,31.3
1.5,0.055,31.4,0.055,31.4,0.055,31.4,0.060,31.4
2.0,0.054,31.4,0.056,31.4,0.055,31.4,0.057,31.4
2.5,0.054,31.4,0.054,31.4,0.055,31.4,0.052,31.4
3.0,0.050,31.4,0.048,31.4,0.050,31.4,0.050,31.4
3.5,0.057,31.5,0.057,31.4,0.054,31.4,0.055,31.4
4.0,0.063,31.5,0.063,31.4,0.063,31.5,0.060,31.5
4.5,0.063,31.5,0.063,31.5,0.062,31.5,0.066,31.5
5.0,0.061,31.5,0.062,31.5,0.059,31.5,0.061,31.5
5.5,0.053,31.5,0.055,31.5,0.053,31.5,0.056,31.5
6.0,0.042,31.5,0.044,31.5,0.044,31.5,0.046,31.5
6.5,0.043,31.5,0.045,31.5,0.042,31.5,0.042,31.5
7.0,0.044,31.5,0.045,31.5,0.045,31.5,0.042,31.5
7.5,0.042,31.6,0.042,31.6,0.044,31.6,0.041,31.6
8.0,0.037,31.6,0.037,31.6,0.037,31.6,0.037,31.6
8.5,0.042,31.6,0.044,31.6,0.040,31.7,0.044,31.6
9.0,0.044,31.7,0.048,31.7,0.044,31.7,0.045,31.6
9.5,0.043,31.7,0.044,31.7,0.044,31.7,0.042,31.7
10.0,0.039,31.7,0.039,31.7,0.040,31.7,0.038,31.7
10.5,0.036,31.7,0.037,31.7,0.036,31.7,0.037,31.7
11.0,0.028,31.7,0.028,31.7,0.030,31.7,0.030,31.7
11.5,0.028,31.7,0.029,31.7,0.028,31.8,0.024,31.7
12.0,0.029,31.8,0.029,31.8,0.028,31.8,0.024,31.7
12.5,0.025,31.8,0.025,31.8,0.024,31.8,0.024,31.7
13.0,0.023,31.9,0.023,31.9,0.026,31.8,0.025,31.8
