time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0,0.026,31.2,0.025,31.2,0.028,31.2,0.023,31.2
0.5,0.026,31.1,0.035,31.2,0.029,31.2,0.052,31.2
1,0.038,31.1,0.03,31.1,0.032,31.1,0.045,31.1
1.5,0.029,31.1,0.035,31.1,0.026,31.1,0.026,31.1
2,0.034,31.1,0.031,31.1,0.037,31.1,0.027,31.1
2.5,0.031,31.1,0.02,31.1,0.025,31.1,0.034,31.1
3,0.034,31,0.027,31,0.034,31.1,0.027,31.1
3.5,0.033,31,0.046,31.1,0.07,31,0.032,31
4,0.032,31,0.043,31,0.134,31.1,0.035,31
4.5,0.027,31,0.026,31,0.028,31,0.033,31
5,0.031,31,0.034,31,0.028,31,0.027,30.9
5.5,0.036,30.9,0.048,30.9,0.103,31,0.039,31
6,0.033,30.9,0.045,30.9,0.037,30.9,0.036,30.9
6.5,0.037,30.9,0.037,30.9,0.03,30.9,0.048,30.9
7,0.034,30.9,0.037,30.9,0.034,30.9,0.05,30.9
7.5,0.023,30.9,0.028,30.9,0.027,30.9,0.025,30.9
8,0.024,30.9,0.026,30.9,0.019,30.8,0.022,30.9
8.5,0.018,30.9,0.019,30.9,0.011,30.8,0.031,30.9
9,0.028,30.8,0.025,30.8,0.027,30.8,0.045,30.8
9.5,0.033,30.9,0.035,30.8,0.032,30.9,0.032,30.8
10,0.028,30.8,0.029,30.8,0.033,30.9,0.027,30.9
10.5,0.035,30.8,0.024,30.8,0.02,30.9,0.025,30.8
11,0.032,30.8,0.018,30.8,0.029,30.8,0.025,30.8
11.5,0.035,30.8,0.035,30.8,0.033,30.8,0.026,30.8
12,0.032,30.8,0.025,30.8,0.031,30.8,0.019,30.7
12.5,0.036,30.8,0.023,30.8,0.036,30.8,0.028,30.8
13,0.03,30.7,0.025,30.8,0.032,30.8,0.034,30.8
13.5,0.031,30.8,0.017,30.8,0.013,30.8,0.022,30.8
14,0.031,30.7,0.023,30.7,0.032,30.7,0.012,30.7
14.5,0.024,30.7,0.016,30.8,0.017,30.7,0.013,30.8
15,0.023,30.7,0.018,30.7,0.022,30.8,0.016,30.7
15.5,0.026,30.7,0.021,30.7,0.024,30.8,0.02,30.8
16,0.029,30.7,0.021,30.7,0.027,30.7,0.022,30.7
16.5,0.027,30.7,0.028,30.7,0.02,30.7,0.03,30.7
17,0.026,30.7,0.027,30.7,0.026,30.7,0.021,30.7
17.5,0.028,30.7,0.025,30.7,0.02,30.7,0.028,30.7
18,0.027,30.7,0.018,30.7,0.022,30.7,0.029,30.7
18.5,0.031,30.7,0.026,30.7,0.004,30.6,0.025,30.7
19,0.03,30.7,0.026,30.7,0.022,30.7,0.022,30.7
19.5,0.023,30.7,0.022,30.7,0.032,30.7,0.03,30.7
20,0.029,30.7,0.022,30.7,0.015,30.7,0.017,30.6
20.5,0.027,30.7,0.036,30.7,0.05,30.7,0.017,30.6
21,0.029,30.7,0.033,30.7,0.047,30.7,0.022,30.7
21.5,0.028,30.7,0.03,30.7,0.027,30.7,0.027,30.7
22,0.026,30.7,0.032,30.7,0.03,30.7,0.024,30.7
22.5,0.024,30.6,0.024,30.6,0.03,30.7,0.022,30.6
23,0.022,30.6,0.026,30.6,0.021,30.6,0.022,30.7
23.5,0.022,30.6,0.023,30.6,0.016,30.6,0.044,30.7
