time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0.0,-0.015,31.8,-0.016,31.8,-0.017,31.7,-0.015,31.7
0.5,-0.021,31.8,-0.022,31.8,-0.021,31.8,-0.021,31.8
1.0,-0.026,31.9,-0.026,31.9,-0.026,31.8,-0.026,31.8
1.5,-0.028,31.9,-0.027,31.9,-0.029,31.9,-0.028,31.9
2.0,-0.025,31.9,-0.025,31.9,-0.026,32.0,-0.026,31.9
2.5,-0.019,32.0,-0.020,31.9,-0.018,32.0,-0.020,32.0
3.0,-0.017,32.0,-0.017,32.0,-0.018,32.0,-0.017,32.0
3.5,-0.014,32.0,-0.014,32.0,-0.014,32.0,-0.014,32.0
4.0,-0.010,32.1,-0.012,32.1,-0.010,32.1,-0.010,32.1
4.5,-0.007,32.1,-0.007,32.1,-0.007,32.1,-0.007,32.1
5.0,-0.004,32.1,-0.005,32.1,-0.008,32.1,-0.005,32.1
5.5,0.005,32.1,0.005,32.2,0.002,32.1,0.006,32.2
6.0,0.011,32.2,0.011,32.2,0.010,32.1,0.011,32.2
6.5,0.010,32.2,0.010,32.2,0.008,32.2,0.009,32.2
7.0,0.015,32.2,0.016,32.1,0.015,32.2,0.013,32.2
7.5,0.018,32.2,0.018,32.2,0.017,32.2,0.017,32.2
8.0,0.020,32.2,0.020,32.2,0.021,32.2,0.019,32.2
8.5,0.020,32.2,0.021,32.2,0.020,32.2,0.020,32.2
9.0,0.023,32.2,0.023,32.2,0.024,32.2,0.022,32.2
9.5,0.025,32.2,0.025,32.3,0.026,32.2,0.023,32.2
10.0,0.028,32.2,0.029,32.2,0.028,32.2,0.026,32.2
10.5,0.034,32.2,0.034,32.2,0.032,32.2,0.034,32.2
11.0,0.035,32.2,0.035,32.2,0.036,32.2,0.036,32.2
11.5,0.037,32.1,0.036,32.2,0.036,32.2,0.036,32.1
12.0,0.036,32.2,0.037,32.1,0.036,32.2,0.036,32.2
12.5,0.035,32.1,0.036,32.1,0.036,32.1,0.036,32.1
13.0,0.037,32.1,0.038,32.1,0.038,32.1,0.038,32.1
13.5,0.038,32.1,0.038,32.1,0.038,32.1,0.041,32.1
14.0,0.039,32.1,0.040,32.1,0.040,32.1,0.039,32.1
14.5,0.040,32.1,0.040,32.1,0.040,32.1,0.040,32.1
15.0,0.038,32.1,0.039,32.1,0.038,32.1,0.039,32.1
15.5,0.036,32.1,0.037,32.1,0.038,32.1,0.037,32.0
16.0,0.032,32.1,0.032,32.1,0.033,32.1,0.031,32.1
16.5,0.033,32.1,0.034,32.1,0.034,32.1,0.034,32.1
17.0,0.034,32.1,0.033,32.1,0.034,32.1,0.033,32.1
17.5,0.033,32.1,0.034,32.1,0.034,32.1,0.033,32.1
18.0,0.034,32.1,0.033,32.1,0.034,32.1,0.034,32.1
18.5,0.034,32.1,0.035,32.1,0.034,32.1,0.033,32.1
19.0,0.037,32.1,0.036,32.1,0.038,32.1,0.037,32.1
19.5,0.038,32.1,0.038,32.1,0.038,32.1,0.039,32.1
20.0,0.041,32.1,0.040,32.1,0.041,32.1,0.041,32.1
20.5,0.041,32.1,0.042,32.1,0.042,32.1,0.041,32.1
21.0,0.041,32.1,0.040,32.0,0.040,32.1,0.041,32.1
21.5,0.040,32.1,0.041,32.1,0.042,32.1,0.040,32.1
22.0,0.040,32.1,0.039,32.1,0.039,32.1,0.039,32.1
22.5,0.042,32.1,0.042,32.1,0.038,32.1,0.042,32.1
