time_s,CF955_flow_ml_min,F50_flow_ml_min,F100_flow_ml_min,F200_flow_ml_min,F350_flow_ml_min,F500_flow_ml_min,F1000_flow_ml_min,F5000_flow_ml_min,F12500_flow_ml_min
0,-0.01,-0.03,0.029,0.012,0.073,0.043,0.046,0.088,0.245
0.5,-0.011,-0.03,0.026,0.011,0.067,0.046,0.042,0.09,0.24
1,-0.01,-0.018,0.028,0.009,0.056,0.046,0.04,0.093,0.233
1.5,-0.01,-0.006,0.025,0.004,0.055,0.044,0.039,0.095,0.227
2,-0.01,-0.012,0.025,0,0.054,0.045,0.038,0.097,0.219
2.5,-0.01,-0.006,0.023,-0.001,0.054,0.037,0.037,0.096,0.207
3,-0.011,-0.009,0.02,0.001,0.05,0.033,0.04,0.092,0.192
3.5,-0.01,-0.015,0.02,0.005,0.057,0.034,0.042,0.09,0.165
4,-0.012,-0.02,0.022,0.004,0.063,0.033,0.04,0.087,0.13
4.5,-0.012,-0.016,0.031,0.003,0.063,0.03,0.032,0.085,0.069
5,-0.011,-0.014,0.03,0,0.061,0.034,0.028,0.086,-0.006
5.5,-0.011,-0.005,0.031,-0.002,0.053,0.033,0.027,0.085,-0.106
6,-0.011,0.007,0.032,-0.003,0.042,0.034,0.027,0.08,-0.159
6.5,-0.012,0.005,0.032,-0.014,0.043,0.033,0.024,0.077,-0.19
7,-0.012,0.011,0.034,-0.031,0.044,0.031,0.02,0.074,-0.202
7.5,-0.013,0.012,0.032,-0.069,0.042,0.025,0.01,0.072,-0.207
8,-0.014,0.013,0.034,-0.123,0.037,0.023,-0.026,0.071,-0.204
8.5,-0.014,0.013,0.031,-0.173,0.042,0.023,-0.106,0.067,-0.198
9,-0.014,0.009,0.03,-0.181,0.044,0.019,-0.222,0.062,-0.188
9.5,-0.012,0.009,0.03,-0.141,0.043,0.017,-0.355,0.056,-0.18
10,-0.012,0.01,0.026,-0.089,0.039,0.012,-0.497,0.047,-0.169
10.5,-0.012,0.017,0.029,-0.058,0.036,-0.004,-0.59,0.032,-0.16
11,-0.011,0.018,0.027,-0.042,0.028,-0.026,-0.571,0.015,-0.151
11.5,-0.012,0.024,0.026,-0.032,0.028,-0.051,-0.479,0.001,-0.141
12,-0.011,0.022,0.025,-0.029,0.029,-0.067,-0.384,-0.013,-0.132
12.5,-0.012,0.018,0.021,-0.021,0.025,-0.06,-0.302,-0.017,-0.122
