time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0.0,0.164,29.9,0.166,29.9,0.166,29.9,0.166,29.9
0.5,0.158,29.9,0.158,29.9,0.160,29.9,0.159,29.9
1.0,0.154,30.0,0.152,30.0,0.154,29.9,0.152,30.0
1.5,0.146,30.0,0.147,30.0,0.147,30.0,0.147,30.0
2.0,0.140,30.0,0.141,30.0,0.140,30.0,0.139,30.0
2.5,0.134,30.1,0.133,30.1,0.137,30.0,0.136,30.1
3.0,0.129,30.1,0.130,30.1,0.130,30.1,0.132,30.1
3.5,0.123,30.1,0.124,30.1,0.124,30.1,0.123,30.1
4.0,0.118,30.2,0.119,30.2,0.119,30.1,0.119,30.2
4.5,0.114,30.2,0.114,30.2,0.117,30.2,0.114,30.2
5.0,0.110,30.2,0.111,30.2,0.115,30.2,0.112,30.2
5.5,0.107,30.2,0.107,30.2,0.108,30.2,0.108,30.2
6.0,0.103,30.3,0.102,30.3,0.104,30.2,0.102,30.2
6.5,0.099,30.3,0.101,30.3,0.100,30.3,0.099,30.3
7.0,0.096,30.3,0.097,30.3,0.099,30.3,0.095,30.3
7.5,0.093,30.3,0.093,30.4,0.093,30.3,0.093,30.3
8.0,0.090,30.4,0.091,30.4,0.093,30.4,0.091,30.4
8.5,0.088,30.4,0.088,30.4,0.088,30.4,0.089,30.4
9.0,0.086,30.4,0.087,30.4,0.087,30.4,0.087,30.4
9.5,0.085,30.4,0.084,30.4,0.084,30.4,0.085,30.4
10.0,0.083,30.5,0.084,30.4,0.082,30.5,0.083,30.5
10.5,0.082,30.5,0.083,30.5,0.083,30.5,0.080,30.5
11.0,0.080,30.5,0.080,30.5,0.080,30.5,0.080,30.5
11.5,0.077,30.5,0.077,30.5,0.078,30.6,0.077,30.5
12.0,0.075,30.5,0.075,30.5,0.077,30.6,0.073,30.5
12.5,0.073,30.6,0.072,30.6,0.074,30.6,0.074,30.6
13.0,0.071,30.6,0.071,30.6,0.072,30.6,0.071,30.6
13.5,0.070,30.6,0.069,30.6,0.071,30.6,0.070,30.6
14.0,0.070,30.6,0.069,30.6,0.068,30.6,0.069,30.6
14.5,0.069,30.6,0.068,30.6,0.069,30.6,0.069,30.6
15.0,0.068,30.6,0.069,30.7,0.069,30.6,0.068,30.6
15.5,0.068,30.7,0.069,30.7,0.068,30.7,0.069,30.6
16.0,0.067,30.7,0.067,30.7,0.067,30.7,0.067,30.7
16.5,0.066,30.7,0.067,30.7,0.066,30.7,0.068,30.7
17.0,0.065,30.7,0.065,30.7,0.066,30.7,0.065,30.7
17.5,0.064,30.7,0.065,30.7,0.065,30.7,0.065,30.7
18.0,0.064,30.7,0.065,30.7,0.064,30.8,0.068,30.8
18.5,0.065,30.7,0.065,30.7,0.066,30.7,0.067,30.7
19.0,0.066,30.8,0.066,30.7,0.065,30.7,0.066,30.7
19.5,0.066,30.7,0.066,30.7,0.065,30.8,0.066,30.7
20.0,0.066,30.8,0.066,30.8,0.067,30.8,0.067,30.7
20.5,0.066,30.8,0.067,30.8,0.066,30.8,0.066,30.8
21.0,0.064,30.8,0.066,30.8,0.065,30.8,0.066,30.8
21.5,0.064,30.8,0.064,30.8,0.065,30.8,0.063,30.8
22.0,0.062,30.8,0.064,30.8,0.064,30.8,0.063,30.8
22.5,0.062,30.8,0.063,30.8,0.062,30.8,0.064,30.8
23.0,0.062,30.8,0.062,30.9,0.065,30.8,0.062,30.8
23.5,0.062,30.8,0.062,30.8,0.064,30.8,0.060,30.8
24.0,0.062,30.8,0.062,30.8,0.063,30.8,0.062,30.8
24.5,0.062,30.8,0.064,30.8,0.062,30.8,0.062,30.8
25.0,0.062,30.8,0.063,30.8,0.062,30.8,0.063,30.8
25.5,0.062,30.9,0.064,30.9,0.062,30.9,0.064,30.9
26.0,0.062,30.9,0.062,30.9,0.063,30.9,0.062,30.9
26.5,0.062,30.9,0.061,30.9,0.062,30.9,0.058,30.9
27.0,0.062,30.9,0.063,30.9,0.063,30.9,0.063,30.9
27.5,0.062,30.9,0.061,30.9,0.062,30.9,0.064,30.9
28.0,0.063,30.9,0.063,30.9,0.063,30.9,0.065,30.9
28.5,0.064,30.9,0.064,30.9,0.063,30.9,0.063,30.9
29.0,0.064,30.9,0.063,30.9,0.063,30.8,0.062,30.9
29.5,0.064,30.9,0.065,30.9,0.066,30.9,0.064,30.9
30.0,0.063,30.9,0.062,30.9,0.066,30.9,0.063,30.9
30.5,0.062,30.9,0.063,30.9,0.063,30.9,0.064,30.9
31.0,0.064,30.9,0.064,30.9,0.064,30.9,0.062,30.9
31.5,0.062,30.9,0.061,30.9,0.062,30.9,0.063,30.9
32.0,0.061,30.9,0.061,30.9,0.061,30.9,0.061,30.9
32.5,0.061,30.9,0.062,30.9,0.062,30.9,0.061,30.9
33.0,0.062,30.9,0.063,30.9,0.062,31.0,0.062,30.9
33.5,0.062,30.9,0.062,30.9,0.064,30.9,0.062,30.9
34.0,0.062,30.9,0.063,31.0,0.064,30.9,0.062,30.9
34.5,0.062,30.9,0.063,30.9,0.064,30.9,0.063,30.9
35.0,0.062,30.9,0.061,31.0,0.061,30.9,0.063,30.9
35.5,0.061,30.9,0.060,31.0,0.061,31.0,0.063,30.9
36.0,0.060,30.9,0.061,30.9,0.061,31.0,0.062,31.0
36.5,0.061,31.0,0.061,30.9,0.062,30.9,0.061,31.0
37.0,0.062,31.0,0.062,31.0,0.063,30.9,0.061,31.0
37.5,0.062,31.0,0.063,30.9,0.063,30.9,0.062,30.9
38.0,0.062,30.9,0.063,31.0,0.066,31.0,0.063,30.9
38.5,0.062,31.0,0.063,30.9,0.064,31.0,0.062,31.0
39.0,0.062,31.0,0.062,31.0,0.065,31.0,0.061,30.9
39.5,0.062,31.0,0.062,31.0,0.062,31.0,0.062,31.0
40.0,0.060,31.0,0.061,31.0,0.062,31.0,0.060,30.9
40.5,0.060,31.0,0.060,30.9,0.062,31.0,0.059,31.0
41.0,0.059,31.0,0.060,31.0,0.059,30.9,0.058,30.9
41.5,0.058,31.0,0.058,31.0,0.056,31.0,0.058,31.0
42.0,0.058,31.0,0.057,31.0,0.058,31.0,0.058,31.0
42.5,0.058,31.0,0.057,31.0,0.059,31.0,0.057,31.0
43.0,0.058,31.0,0.058,31.0,0.060,30.9,0.059,31.0
43.5,0.058,31.0,0.059,31.0,0.059,31.0,0.060,31.0
44.0,0.058,31.0,0.058,31.0,0.058,31.0,0.059,31.0
44.5,0.058,31.0,0.057,31.0,0.057,31.0,0.057,31.0
45.0,0.056,31.0,0.057,31.0,0.057,31.0,0.057,31.0
45.5,0.056,31.0,0.056,31.0,0.054,31.0,0.055,31.0
46.0,0.056,31.0,0.055,31.1,0.055,31.0,0.056,31.0
46.5,0.056,31.0,0.057,31.0,0.056,31.0,0.056,31.1
47.0,0.057,31.0,0.059,31.0,0.058,31.0,0.058,31.0
47.5,0.057,31.0,0.058,31.0,0.058,31.0,0.057,31.1
48.0,0.056,31.0,0.058,31.0,0.056,31.0,0.057,31.0
48.5,0.056,31.0,0.056,31.0,0.056,31.0,0.055,31.0
49.0,0.055,31.0,0.056,31.0,0.053,31.0,0.055,31.0
49.5,0.054,31.0,0.055,31.0,0.054,31.0,0.054,31.0
50.0,0.053,31.0,0.053,31.1,0.055,31.1,0.052,31.0
50.5,0.052,31.1,0.053,31.1,0.053,31.1,0.052,31.0
51.0,0.052,31.1,0.053,31.1,0.052,31.1,0.052,31.0
51.5,0.052,31.1,0.053,31.1,0.052,31.1,0.053,31.1
52.0,0.052,31.1,0.052,31.1,0.053,31.1,0.054,31.1
52.5,0.052,31.1,0.052,31.1,0.052,31.1,0.053,31.1
53.0,0.052,31.1,0.051,31.1,0.051,31.1,0.052,31.1
53.5,0.051,31.1,0.050,31.1,0.051,31.1,0.052,31.1
54.0,0.050,31.1,0.051,31.1,0.053,31.0,0.050,31.1
54.5,0.048,31.1,0.048,31.1,0.051,31.1,0.050,31.1
55.0,0.048,31.1,0.047,31.1,0.047,31.1,0.049,31.1
55.5,0.048,31.1,0.047,31.1,0.045,31.1,0.047,31.1
56.0,0.047,31.1,0.049,31.1,0.046,31.2,0.048,31.1
56.5,0.046,31.1,0.047,31.1,0.048,31.1,0.047,31.2
57.0,0.046,31.1,0.046,31.1,0.048,31.1,0.047,31.1
57.5,0.045,31.2,0.045,31.2,0.046,31.1,0.045,31.2
58.0,0.044,31.2,0.044,31.2,0.044,31.2,0.043,31.2
58.5,0.043,31.2,0.042,31.2,0.042,31.2,0.042,31.1
59.0,0.042,31.2,0.041,31.2,0.042,31.1,0.043,31.2
59.5,0.040,31.2,0.041,31.2,0.041,31.2,0.043,31.2
60.0,0.038,31.2,0.039,31.2,0.039,31.2,0.039,31.2
60.5,0.038,31.2,0.038,31.2,0.039,31.2,0.040,31.2
61.0,0.037,31.2,0.037,31.2,0.036,31.2,0.037,31.2
61.5,0.036,31.2,0.037,31.2,0.037,31.2,0.037,31.2
62.0,0.036,31.2,0.037,31.2,0.038,31.2,0.037,31.2
62.5,0.036,31.2,0.036,31.3,0.036,31.2,0.036,31.2
63.0,0.034,31.3,0.035,31.3,0.035,31.3,0.035,31.2
63.5,0.034,31.3,0.036,31.3,0.035,31.3,0.036,31.3
64.0,0.033,31.3,0.034,31.3,0.035,31.3,0.034,31.3
64.5,0.032,31.3,0.032,31.3,0.034,31.3,0.032,31.3
65.0,0.032,31.3,0.033,31.3,0.034,31.3,0.035,31.3
65.5,0.032,31.3,0.032,31.3,0.034,31.2,0.034,31.3
66.0,0.032,31.3,0.032,31.3,0.034,31.3,0.032,31.3
66.5,0.032,31.3,0.033,31.3,0.032,31.4,0.032,31.3
67.0,0.030,31.3,0.029,31.3,0.031,31.3,0.031,31.3
67.5,0.030,31.3,0.030,31.3,0.030,31.3,0.030,31.3
68.0,0.030,31.3,0.029,31.3,0.030,31.3,0.028,31.3
68.5,0.028,31.4,0.030,31.4,0.030,31.4,0.029,31.3
69.0,0.028,31.4,0.027,31.4,0.030,31.4,0.027,31.4
69.5,0.028,31.4,0.028,31.4,0.026,31.3,0.028,31.4
70.0,0.028,31.4,0.028,31.4,0.026,31.3,0.029,31.4
70.5,0.028,31.4,0.027,31.4,0.027,31.4,0.028,31.4
71.0,0.028,31.4,0.028,31.4,0.028,31.4,0.026,31.4
71.5,0.028,31.4,0.027,31.4,0.028,31.4,0.026,31.3
72.0,0.026,31.4,0.027,31.4,0.027,31.4,0.026,31.4
72.5,0.026,31.4,0.026,31.4,0.026,31.4,0.027,31.4
73.0,0.025,31.4,0.025,31.4,0.025,31.4,0.025,31.4
73.5,0.024,31.5,0.024,31.5,0.024,31.4,0.025,31.4
74.0,0.023,31.5,0.024,31.5,0.024,31.4,0.025,31.4
74.5,0.022,31.5,0.022,31.5,0.024,31.5,0.022,31.4
75.0,0.019,31.5,0.019,31.5,0.020,31.5,0.019,31.5
75.5,0.015,31.5,0.016,31.5,0.016,31.5,0.017,31.5
76.0,0.008,31.5,0.009,31.5,0.013,31.5,0.009,31.4
76.5,-0.002,31.5,0.000,31.5,-0.001,31.5,0.001,31.4
77.0,-0.016,31.5,-0.013,31.5,-0.016,31.5,-0.011,31.5
77.5,-0.036,31.6,-0.035,31.5,-0.030,31.6,-0.034,31.5
78.0,-0.059,31.6,-0.058,31.6,-0.053,31.6,-0.053,31.6
78.5,-0.086,31.6,-0.085,31.6,-0.081,31.6,-0.083,31.6
79.0,-0.117,31.6,-0.116,31.6,-0.095,31.6,-0.116,31.6
79.5,-0.150,31.6,-0.151,31.6,-0.135,31.6,-0.143,31.6
80.0,-0.185,31.5,-0.184,31.5,-0.150,31.6,-0.182,31.5
80.5,-0.221,31.5,-0.220,31.4,-0.168,31.5,-0.212,31.5
81.0,-0.259,31.3,-0.260,31.3,-0.245,31.4,-0.252,31.3
81.5,-0.298,31.1,-0.299,31.1,-0.293,31.2,-0.295,31.2
82.0,-0.335,31.0,-0.335,31.0,-0.329,31.0,-0.332,31.0
82.5,-0.362,30.9,-0.362,30.9,-0.353,30.9,-0.349,30.9
83.0,-0.381,30.7,-0.384,30.7,-0.380,30.7,-0.376,30.7
83.5,-0.382,30.6,-0.383,30.6,-0.383,30.6,-0.378,30.6
84.0,-0.372,30.5,-0.370,30.5,-0.373,30.5,-0.372,30.4
84.5,-0.357,30.4,-0.357,30.4,-0.360,30.4,-0.356,30.4
85.0,-0.338,30.4,-0.339,30.4,-0.343,30.4,-0.342,30.4
