time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0.0,-0.014,32.1,-0.013,32.1,-0.014,32.1,-0.013,32.1
0.5,-0.011,32.1,-0.011,32.1,-0.011,32.1,-0.010,32.1
1.0,-0.012,32.1,-0.011,32.1,-0.013,32.1,-0.011,32.1
1.5,-0.011,32.1,-0.009,32.2,-0.011,32.1,-0.010,32.2
2.0,-0.012,32.2,-0.012,32.2,-0.011,32.2,-0.012,32.1
2.5,-0.012,32.2,-0.012,32.2,-0.012,32.2,-0.012,32.1
3.0,-0.013,32.2,-0.013,32.2,-0.014,32.1,-0.013,32.2
3.5,-0.014,32.2,-0.012,32.2,-0.014,32.1,-0.013,32.2
4.0,-0.014,32.2,-0.014,32.2,-0.012,32.2,-0.015,32.2
4.5,-0.016,32.2,-0.016,32.2,-0.016,32.2,-0.016,32.2
5.0,-0.013,32.2,-0.013,32.2,-0.016,32.2,-0.013,32.3
5.5,-0.011,32.3,-0.012,32.3,-0.012,32.3,-0.010,32.3
6.0,-0.011,32.3,-0.010,32.3,-0.011,32.2,-0.010,32.3
6.5,-0.010,32.3,-0.010,32.3,-0.012,32.3,-0.010,32.3
7.0,-0.011,32.3,-0.012,32.3,-0.010,32.3,-0.009,32.3
7.5,-0.011,32.3,-0.011,32.3,-0.012,32.3,-0.009,32.3
8.0,-0.012,32.3,-0.012,32.2,-0.013,32.2,-0.011,32.3
8.5,-0.012,32.3,-0.013,32.3,-0.011,32.3,-0.012,32.3
9.0,-0.014,32.3,-0.014,32.2,-0.010,32.2,-0.013,32.3
9.5,-0.014,32.3,-0.014,32.3,-0.010,32.3,-0.016,32.3
10.0,-0.012,32.3,-0.012,32.3,-0.011,32.3,-0.011,32.3
10.5,-0.012,32.3,-0.012,32.3,-0.013,32.3,-0.012,32.3
11.0,-0.012,32.3,-0.012,32.3,-0.014,32.3,-0.012,32.3
11.5,-0.012,32.3,-0.012,32.3,-0.013,32.3,-0.013,32.3
12.0,-0.013,32.3,-0.012,32.3,-0.012,32.3,-0.010,32.3
12.5,-0.013,32.3,-0.013,32.3,-0.012,32.3,-0.013,32.3
13.0,-0.014,32.3,-0.013,32.3,-0.013,32.3,-0.013,32.3
13.5,-0.014,32.4,-0.014,32.3,-0.016,32.4,-0.014,32.3
14.0,-0.015,32.4,-0.016,32.4,-0.015,32.4,-0.015,32.4
14.5,-0.013,32.4,-0.013,32.4,-0.013,32.4,-0.014,32.3
15.0,-0.012,32.4,-0.011,32.4,-0.011,32.4,-0.012,32.3
15.5,-0.011,32.4,-0.011,32.4,-0.012,32.4,-0.012,32.4
16.0,-0.010,32.4,-0.010,32.4,-0.009,32.4,-0.011,32.4
16.5,-0.010,32.4,-0.012,32.4,-0.011,32.4,-0.010,32.4
17.0,-0.011,32.4,-0.011,32.4,-0.013,32.4,-0.010,32.3
17.5,-0.012,32.4,-0.011,32.4,-0.011,32.4,-0.010,32.4
18.0,-0.012,32.3,-0.012,32.4,-0.012,32.3,-0.012,32.4
18.5,-0.013,32.3,-0.013,32.3,-0.012,32.3,-0.011,32.3
19.0,-0.014,32.3,-0.014,32.3,-0.013,32.3,-0.012,32.4
19.5,-0.013,32.3,-0.013,32.3,-0.013,32.3,-0.012,32.3
20.0,-0.012,32.4,-0.012,32.3,-0.010,32.4,-0.011,32.4
20.5,-0.012,32.3,-0.013,32.3,-0.011,32.4,-0.011,32.4
21.0,-0.012,32.4,-0.012,32.4,-0.013,32.4,-0.009,32.3
