time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0.0,0.029,31.7,0.029,31.7,0.032,31.7,0.027,31.7
0.5,0.026,31.7,0.026,31.7,0.024,31.7,0.026,31.6
1.0,0.028,31.7,0.025,31.7,0.032,31.7,0.026,31.7
1.5,0.025,31.7,0.025,31.7,0.032,31.7,0.028,31.7
2.0,0.025,31.7,0.025,31.7,0.029,31.7,0.028,31.7
2.5,0.023,31.7,0.024,31.7,0.027,31.8,0.024,31.8
3.0,0.020,31.8,0.019,31.8,0.019,31.8,0.020,31.8
3.5,0.020,31.8,0.019,31.8,0.025,31.8,0.019,31.8
4.0,0.022,31.8,0.022,31.8,0.021,31.8,0.025,31.8
4.5,0.031,31.8,0.031,31.8,0.027,31.8,0.036,31.8
5.0,0.030,31.8,0.030,31.8,0.025,31.8,0.030,31.9
5.5,0.031,31.8,0.032,31.8,0.031,31.8,0.028,31.8
6.0,0.032,31.8,0.036,31.8,0.030,31.8,0.031,31.9
6.5,0.032,31.8,0.031,31.8,0.030,31.8,0.032,31.8
7.0,0.034,31.8,0.034,31.8,0.030,31.8,0.038,31.8
7.5,0.032,31.8,0.032,31.9,0.030,31.8,0.034,31.8
8.0,0.034,31.8,0.035,31.8,0.032,31.8,0.033,31.8
8.5,0.031,31.8,0.032,31.8,0.032,31.8,0.033,31.8
9.0,0.030,31.8,0.031,31.8,0.031,31.8,0.028,31.8
9.5,0.030,31.8,0.030,31.8,0.029,31.8,0.030,31.9
10.0,0.026,31.8,0.028,31.8,0.026,31.9,0.025,31.9
10.5,0.029,31.9,0.029,31.9,0.024,31.8,0.033,31.9
11.0,0.027,31.9,0.028,31.8,0.026,31.8,0.033,31.9
11.5,0.026,31.9,0.028,31.9,0.029,31.9,0.024,31.9
12.0,0.025,31.9,0.029,31.9,0.026,31.9,0.025,31.9
12.5,0.021,31.9,0.021,31.9,0.023,31.9,0.024,31.9
13.0,0.024,31.9,0.022,31.9,0.026,31.9,0.028,31.9
13.5,0.027,31.9,0.026,31.9,0.035,31.9,0.027,31.9
14.0,0.034,31.9,0.035,31.9,0.032,31.9,0.032,32.0
14.5,0.034,31.9,0.035,31.9,0.052,31.9,0.034,31.9
15.0,0.032,31.9,0.032,31.9,0.039,31.9,0.031,31.9
15.5,0.036,31.9,0.036,31.9,0.036,31.9,0.040,31.9
16.0,0.034,31.9,0.031,31.9,0.044,31.9,0.035,31.9
16.5,0.038,31.9,0.035,31.9,0.038,31.9,0.030,31.9
17.0,0.036,31.9,0.031,31.9,0.035,31.9,0.034,31.9
17.5,0.034,31.9,0.030,31.9,0.032,31.9,0.037,31.9
18.0,0.030,31.9,0.029,31.9,0.034,31.9,0.034,31.9
18.5,0.026,31.9,0.025,31.9,0.031,31.9,0.028,31.9
19.0,0.025,31.9,0.023,31.9,0.022,31.9,0.024,31.9
19.5,0.024,31.9,0.023,31.9,0.024,31.9,0.026,31.9
