time_s,s1_flow_ml_min,s1_temp_c,s2_flow_ml_min,s2_temp_c,s3_flow_ml_min,s3_temp_c,s4_flow_ml_min,s4_temp_c
0.0,0.088,31.6,0.088,31.6,0.090,31.6,0.089,31.6
0.5,0.090,31.6,0.090,31.6,0.090,31.6,0.091,31.6
1.0,0.093,31.6,0.092,31.6,0.093,31.6,0.092,31.5
1.5,0.095,31.6,0.096,31.5,0.096,31.6,0.094,31.6
2.0,0.097,31.5,0.097,31.5,0.096,31.6,0.096,31.5
2.5,0.096,31.5,0.097,31.5,0.097,31.5,0.097,31.5
3.0,0.092,31.5,0.093,31.5,0.093,31.5,0.093,31.5
3.5,0.090,31.5,0.091,31.5,0.090,31.5,0.091,31.5
4.0,0.087,31.5,0.087,31.5,0.087,31.5,0.088,31.5
4.5,0.085,31.5,0.086,31.5,0.084,31.6,0.086,31.5
5.0,0.086,31.5,0.087,31.5,0.085,31.5,0.086,31.5
5.5,0.085,31.5,0.084,31.5,0.084,31.5,0.085,31.5
6.0,0.080,31.5,0.081,31.5,0.080,31.6,0.083,31.5
6.5,0.077,31.6,0.078,31.6,0.076,31.6,0.077,31.5
7.0,0.074,31.6,0.076,31.6,0.074,31.6,0.078,31.5
7.5,0.072,31.6,0.071,31.6,0.070,31.6,0.073,31.6
8.0,0.071,31.6,0.071,31.6,0.071,31.6,0.072,31.6
8.5,0.067,31.6,0.070,31.6,0.067,31.6,0.069,31.6
9.0,0.062,31.6,0.062,31.6,0.066,31.6,0.063,31.6
9.5,0.056,31.6,0.057,31.6,0.062,31.7,0.056,31.7
10.0,0.047,31.7,0.047,31.7,0.051,31.7,0.048,31.7
10.5,0.032,31.7,0.034,31.7,0.033,31.7,0.038,31.7
11.0,0.015,31.8,0.017,31.7,0.015,31.8,0.019,31.8
11.5,0.001,31.8,0.002,31.8,0.008,31.8,0.002,31.8
12.0,-0.013,31.9,-0.012,31.9,-0.012,31.9,-0.006,31.8
12.5,-0.017,32.0,-0.017,32.0,-0.017,31.9,-0.015,31.9
13.0,-0.015,32.0,-0.014,32.0,-0.014,32.0,-0.014,32.0
13.5,-0.019,32.1,-0.019,32.1,-0.018,32.1,-0.017,32.1
14.0,-0.021,32.2,-0.021,32.2,-0.022,32.2,-0.022,32.1
14.5,-0.017,32.2,-0.017,32.2,-0.021,32.2,-0.018,32.2
15.0,-0.016,32.3,-0.015,32.2,-0.014,32.2,-0.015,32.3
15.5,-0.014,32.3,-0.013,32.3,-0.014,32.3,-0.014,32.3
16.0,-0.006,32.3,-0.005,32.3,-0.013,32.2,-0.005,32.3
16.5,0.002,32.4,0.003,32.3,0.001,32.4,-0.000,32.3
17.0,0.012,32.4,0.012,32.4,0.010,32.4,0.010,32.4
17.5,0.022,32.4,0.022,32.4,0.021,32.5,0.012,32.4
18.0,0.030,32.4,0.029,32.4,0.030,32.4,0.020,32.4
18.5,0.038,32.4,0.037,32.4,0.036,32.4,0.036,32.4
19.0,0.045,32.4,0.045,32.4,0.045,32.4,0.044,32.4
19.5,0.049,32.4,0.049,32.4,0.049,32.4,0.049,32.3
20.0,0.054,32.3,0.055,32.3,0.048,32.4,0.055,32.3
20.5,0.063,32.3,0.063,32.3,0.059,32.3,0.062,32.3
21.0,0.068,32.2,0.069,32.2,0.068,32.2,0.069,32.3
21.5,0.072,32.2,0.072,32.2,0.072,32.2,0.072,32.2
22.0,0.075,32.1,0.075,32.1,0.074,32.2,0.076,32.1
22.5,0.076,32.1,0.075,32.1,0.076,32.1,0.077,32.1
23.0,0.077,32.0,0.078,32.0,0.078,32.1,0.080,32.0
23.5,0.082,32.0,0.082,32.0,0.082,32.0,0.083,32.0
24.0,0.088,32.0,0.088,32.0,0.085,32.0,0.088,31.9
24.5,0.090,32.0,0.089,32.0,0.090,32.0,0.088,31.9
25.0,0.093,31.9,0.093,31.9,0.092,32.0,0.093,31.9
