sample_name,cycle_number,A,B,tau,R2,viscosity_cP,sample_type,expected_viscosity,correlation_factor
water_b1_ml_min,1,-0.1452982114498093,0.3833466867454449,3.6075735189271483,0.9054933074182407,3825065.1810101215,Water,1,3825065.1810101215
water_b1_ml_min,2,-0.2004315628391997,0.38776681015628306,3.671399395459794,0.8739513832593295,3892738.961388184,Water,1,3892738.961388184
water_b1_ml_min,3,-0.23668932037056656,0.3716487612381478,3.8120770029039885,0.9170004795212383,4041897.672987238,Water,1,4041897.672987238
water_b1_ml_min,4,-0.17597536473737654,0.39757936950723005,3.548329010324207,0.9004522293212294,3762248.96787514,Water,1,3762248.96787514
water_b1_ml_min,5,-0.20363847195358617,0.38585085364356214,3.683134925623222,0.8998545530509591,3905181.997567934,Water,1,3905181.997567934
water_b1_ml_min,6,-0.1917863568128458,0.3467539105869509,3.967719937619902,0.8488941332161665,4206923.934333988,Water,1,4206923.934333988
water_b2_ml_min,1,0.3303203817172604,0.2585990710366594,3.4217320540670064,0.7637927553348406,3628019.7950113886,Water,1,3628019.7950113886
water_b2_ml_min,2,-0.23536756104596246,0.37337364710447873,3.8101336607718745,0.8915588787757247,4039837.171576327,Water,1,4039837.171576327
water_b2_ml_min,3,-0.2644493616166934,0.37134421406605467,3.8793802936203763,0.873159182554526,4113258.5122282333,Water,1,4113258.5122282333
water_b2_ml_min,4,-0.19168732596717938,0.3707786320816384,3.766461977599642,0.9123465291451649,3993532.630905799,Water,1,3993532.630905799
water_b2_ml_min,5,-0.25039170877997163,0.3758326346066694,3.8296085588479323,0.9009063643607752,4060486.1629710663,Water,1,4060486.1629710663
water_b2_ml_min,6,-0.21939215737615644,0.41561424349254295,3.4934780008362702,0.9256689437825801,3704091.1270235064,Water,1,3704091.1270235064
water_b2_ml_min,7,-0.17002736785864286,0.35942525893668403,3.8350287781531858,0.8654632083221053,4066233.1538592693,Water,1,4066233.1538592693
water_b3_ml_min,1,-0.2877462094863151,0.2912039135005446,4.68501392162102,0.7461071672248755,4967461.794162187,Water,1,4967461.794162187
water_b3_ml_min,2,-0.23738265507438927,0.44068621317322754,3.4481937778077647,0.8905706029491527,3656076.8304669233,Water,1,3656076.8304669233
water_b3_ml_min,3,-0.2221979073586331,0.39581850304580335,3.608117527225575,0.9157094188203934,3825641.986220039,Water,1,3825641.986220039
water_b3_ml_min,4,-0.24919238825189832,0.3964811266880473,3.701239142540827,0.8779902163638549,3924377.6728356625,Water,1,3924377.6728356625
water_b3_ml_min,5,-0.22423420389266224,0.34141477033719414,4.056185991099368,0.8632966453099451,4300723.38683381,Water,1,4300723.38683381
water_b3_ml_min,6,-0.22997368384435807,0.39185736907920377,3.7006695652566233,0.9024453842492298,3923773.757149212,Water,1,3923773.757149212
