sample_id,actual_viscosity_cp,predicted_viscosity_cp
0,350.0,407.55646
1,350.0,919.4214
2,500.0,569.10724
3,5000.0,5617.022
4,12500.0,5981.6577
5,100.0,322.7595
6,1000.0,1041.3873
7,200.0,84.37873
8,350.0,551.78235
9,12500.0,12487.205
10,5000.0,5248.785
11,350.0,220.33704
12,1.0,396.79025
13,12500.0,12497.103
14,5000.0,4999.155
15,350.0,955.7657
16,5000.0,4967.2896
17,5000.0,5600.994
18,200.0,517.0771
19,500.0,1143.3783
20,350.0,471.50092
21,1000.0,702.3
22,500.0,620.9866
23,200.0,104.98143
24,1000.0,730.9308
25,350.0,462.08014
26,5000.0,4947.7812
27,500.0,606.5339
28,1.0,8.724743
29,1000.0,1014.6051
30,100.0,119.673454
31,1.0,70.62685
32,350.0,364.323
33,1000.0,936.2678
34,1000.0,1951.195
35,500.0,554.9131
36,100.0,50.79147
37,5000.0,1055.5638
38,100.0,481.78268
